provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,4.4445,8.07625,9.77067877631846,-0.6309614321274998,50.0,50.0
metno,wind_direction_100m,8,8.0,100.0,0.0,-54.860125000000004,67.37637500000001,84.43082759647095,0.5775174917928895,37.5,62.5
metno,wind_speed_100m,8,8.0,100.0,0.0,-2.778952566388134,2.778952566388134,3.1181385442222607,0.5076031177786258,0.0,100.0
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,0.026125,0.086375,0.21152984423007548,-0.0945865349862546,12.5,10.416666666666668
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,6.981541666666666,8.472333333333333,10.698378915362209,-0.49057119624053075,77.08333333333334,22.916666666666664
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,-21.666833333333333,73.60437499999999,90.63873736203155,0.17306618123447284,39.58333333333333,60.416666666666664
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,8.029583333333333,8.102791666666667,11.57759314005578,0.7041261516821881,93.75,6.25
visualcrossing,precipitation,48,48.0,100.0,0.0,-0.028041666666666663,0.03220833333333333,0.10875756678656126,-0.04245565638784414,2.083333333333333,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,6.164874999999999,7.718374999999999,9.721115063784264,-0.4034883388207212,72.91666666666666,27.083333333333332
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,-14.15641666666667,67.33904166666667,82.05301047036605,0.144216417166287,39.58333333333333,60.416666666666664
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,-1.4883602592070488,1.4883602592070488,1.8589767411766864,0.6734888212261422,0.0,100.0
