provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,2.8445,6.38175,7.282148635533335,-0.37178196032501926,50.0,50.0
metno,wind_direction_100m,8,8.0,100.0,0.0,-20.122625,87.33737500000001,100.7484791380247,0.2614417833707197,50.0,50.0
metno,wind_speed_100m,8,8.0,100.0,0.0,-2.205597106012626,2.344816316301306,2.730894620920482,0.08715954232864807,12.5,87.5
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,0.069875,0.118125,0.2863911224182761,0.06527613975279264,12.5,8.333333333333332
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,2.4377916666666666,5.891375,6.828119781462537,-0.257795392698701,62.5,37.5
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,1.2914999999999992,98.43695833333334,103.12055021793668,-0.09511011797628723,58.333333333333336,41.66666666666667
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,10.562916666666666,10.577166666666667,11.316835559613532,0.35857970613043527,97.91666666666666,2.083333333333333
visualcrossing,precipitation,48,48.0,100.0,0.0,-0.02804166666666667,0.03220833333333333,0.10875756678656126,-0.04245565638784413,2.083333333333333,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,0.3982083333333333,6.556166666666667,7.49367420450965,-0.30642685143761855,52.083333333333336,47.91666666666667
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,-64.37725,86.424125,94.78845032360219,-0.42444200079225225,14.583333333333334,85.41666666666666
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,-2.3570806537153945,2.8670456630489967,3.3361072306758826,-0.3256884556505585,14.583333333333334,85.41666666666666
