time,latitude,longitude,variable,value
2025-08-01T00:00,52.2297,21.0122,temperature_2m,14.5
2025-08-01T00:00,52.2297,21.0122,precipitation,0.0
2025-08-01T00:00,52.2297,21.0122,wind_speed_100m,14.8
2025-08-01T00:00,52.2297,21.0122,wind_direction_100m,254.0
2025-08-01T00:00,52.2297,21.0122,wind_speed_10m,8.3
2025-08-01T00:00,52.2297,21.0122,wind_direction_10m,249.0
2025-08-01T01:00,52.2297,21.0122,temperature_2m,14.3
2025-08-01T01:00,52.2297,21.0122,precipitation,0.0
2025-08-01T01:00,52.2297,21.0122,wind_speed_100m,19.8
2025-08-01T01:00,52.2297,21.0122,wind_direction_100m,255.0
2025-08-01T01:00,52.2297,21.0122,wind_speed_10m,9.4
2025-08-01T01:00,52.2297,21.0122,wind_direction_10m,245.0
2025-08-01T02:00,52.2297,21.0122,temperature_2m,14.1
2025-08-01T02:00,52.2297,21.0122,precipitation,0.0
2025-08-01T02:00,52.2297,21.0122,wind_speed_100m,19.8
2025-08-01T02:00,52.2297,21.0122,wind_direction_100m,254.0
2025-08-01T02:00,52.2297,21.0122,wind_speed_10m,9.4
2025-08-01T02:00,52.2297,21.0122,wind_direction_10m,242.0
2025-08-01T03:00,52.2297,21.0122,temperature_2m,13.9
2025-08-01T03:00,52.2297,21.0122,precipitation,0.0
2025-08-01T03:00,52.2297,21.0122,wind_speed_100m,18.4
2025-08-01T03:00,52.2297,21.0122,wind_direction_100m,254.0
2025-08-01T03:00,52.2297,21.0122,wind_speed_10m,7.6
2025-08-01T03:00,52.2297,21.0122,wind_direction_10m,230.0
2025-08-01T04:00,52.2297,21.0122,temperature_2m,14.3
2025-08-01T04:00,52.2297,21.0122,precipitation,0.0
2025-08-01T04:00,52.2297,21.0122,wind_speed_100m,15.5
2025-08-01T04:00,52.2297,21.0122,wind_direction_100m,247.0
2025-08-01T04:00,52.2297,21.0122,wind_speed_10m,6.8
2025-08-01T04:00,52.2297,21.0122,wind_direction_10m,224.0
2025-08-01T05:00,52.2297,21.0122,temperature_2m,15.9
2025-08-01T05:00,52.2297,21.0122,precipitation,0.0
2025-08-01T05:00,52.2297,21.0122,wind_speed_100m,10.4
2025-08-01T05:00,52.2297,21.0122,wind_direction_100m,258.0
2025-08-01T05:00,52.2297,21.0122,wind_speed_10m,5.8
2025-08-01T05:00,52.2297,21.0122,wind_direction_10m,246.0
2025-08-01T06:00,52.2297,21.0122,temperature_2m,17.0
2025-08-01T06:00,52.2297,21.0122,precipitation,0.0
2025-08-01T06:00,52.2297,21.0122,wind_speed_100m,8.3
2025-08-01T06:00,52.2297,21.0122,wind_direction_100m,235.0
2025-08-01T06:00,52.2297,21.0122,wind_speed_10m,4.0
2025-08-01T06:00,52.2297,21.0122,wind_direction_10m,195.0
2025-08-01T07:00,52.2297,21.0122,temperature_2m,18.2
2025-08-01T07:00,52.2297,21.0122,precipitation,0.0
2025-08-01T07:00,52.2297,21.0122,wind_speed_100m,12.2
2025-08-01T07:00,52.2297,21.0122,wind_direction_100m,233.0
2025-08-01T07:00,52.2297,21.0122,wind_speed_10m,6.8
2025-08-01T07:00,52.2297,21.0122,wind_direction_10m,216.0
2025-08-01T08:00,52.2297,21.0122,temperature_2m,19.4
2025-08-01T08:00,52.2297,21.0122,precipitation,0.0
2025-08-01T08:00,52.2297,21.0122,wind_speed_100m,15.1
2025-08-01T08:00,52.2297,21.0122,wind_direction_100m,225.0
2025-08-01T08:00,52.2297,21.0122,wind_speed_10m,7.9
2025-08-01T08:00,52.2297,21.0122,wind_direction_10m,210.0
2025-08-01T09:00,52.2297,21.0122,temperature_2m,19.8
2025-08-01T09:00,52.2297,21.0122,precipitation,0.0
2025-08-01T09:00,52.2297,21.0122,wind_speed_100m,13.0
2025-08-01T09:00,52.2297,21.0122,wind_direction_100m,230.0
2025-08-01T09:00,52.2297,21.0122,wind_speed_10m,8.6
2025-08-01T09:00,52.2297,21.0122,wind_direction_10m,235.0
2025-08-01T10:00,52.2297,21.0122,temperature_2m,20.9
2025-08-01T10:00,52.2297,21.0122,precipitation,0.0
2025-08-01T10:00,52.2297,21.0122,wind_speed_100m,17.3
2025-08-01T10:00,52.2297,21.0122,wind_direction_100m,229.0
2025-08-01T10:00,52.2297,21.0122,wind_speed_10m,10.8
2025-08-01T10:00,52.2297,21.0122,wind_direction_10m,242.0
2025-08-01T11:00,52.2297,21.0122,temperature_2m,21.4
2025-08-01T11:00,52.2297,21.0122,precipitation,0.0
2025-08-01T11:00,52.2297,21.0122,wind_speed_100m,18.4
2025-08-01T11:00,52.2297,21.0122,wind_direction_100m,231.0
2025-08-01T11:00,52.2297,21.0122,wind_speed_10m,11.5
2025-08-01T11:00,52.2297,21.0122,wind_direction_10m,238.0
2025-08-01T12:00,52.2297,21.0122,temperature_2m,22.4
2025-08-01T12:00,52.2297,21.0122,precipitation,0.0
2025-08-01T12:00,52.2297,21.0122,wind_speed_100m,17.6
2025-08-01T12:00,52.2297,21.0122,wind_direction_100m,230.0
2025-08-01T12:00,52.2297,21.0122,wind_speed_10m,7.6
2025-08-01T12:00,52.2297,21.0122,wind_direction_10m,245.0
2025-08-01T13:00,52.2297,21.0122,temperature_2m,22.8
2025-08-01T13:00,52.2297,21.0122,precipitation,0.0
2025-08-01T13:00,52.2297,21.0122,wind_speed_100m,12.2
2025-08-01T13:00,52.2297,21.0122,wind_direction_100m,263.0
2025-08-01T13:00,52.2297,21.0122,wind_speed_10m,12.2
2025-08-01T13:00,52.2297,21.0122,wind_direction_10m,256.0
2025-08-01T14:00,52.2297,21.0122,temperature_2m,22.5
2025-08-01T14:00,52.2297,21.0122,precipitation,0.0
2025-08-01T14:00,52.2297,21.0122,wind_speed_100m,17.3
2025-08-01T14:00,52.2297,21.0122,wind_direction_100m,230.0
2025-08-01T14:00,52.2297,21.0122,wind_speed_10m,10.1
