provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,3.8820000000000006,5.06425,6.105572352367958,0.1210132775348529,75.0,25.0
metno,wind_direction_100m,8,8.0,100.0,0.0,-145.11012499999998,145.110125,146.79877153309218,0.050302908103824526,0.0,100.0
metno,wind_speed_100m,8,8.0,100.0,0.0,-1.006762961591109,3.308095986618179,3.64799098227983,-0.8985416935978704,37.5,62.5
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,6.694041666666666,7.003416666666666,8.464575137004811,-0.03685538202807426,87.5,12.5
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,-134.8335,134.8335,137.3418710514629,-0.2681981736289308,0.0,100.0
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,21.17125,21.171249999999997,22.01743003660206,-0.9096160286128546,100.0,0.0
visualcrossing,precipitation,48,48.0,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,6.3648750000000005,6.717124999999999,8.098331036907132,-0.06512315521877729,83.33333333333334,16.666666666666664
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,-136.14183333333332,136.14183333333332,138.34612764939732,-0.12186975645941414,0.0,100.0
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,1.3566990328077837,2.915618338040806,3.3466779721732682,-0.944543127913415,62.5,37.5
