provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,4.856999999999999,6.3892500000000005,8.291077357617645,-0.8061959071827112,75.0,25.0
metno,wind_direction_100m,8,8.0,100.0,0.0,-58.822625,61.537625000000006,77.85349011845905,0.5813871172369708,25.0,75.0
metno,wind_speed_100m,8,8.0,100.0,0.0,-2.222971513902793,2.5041469080638237,2.8686254349280214,0.36232185624655083,25.0,75.0
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,-0.023874999999999997,0.02804166666666667,0.09191866876030497,0.6823941455971246,2.083333333333333,10.416666666666668
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,3.521125,5.841083333333333,7.191429140534817,-0.7689535011172861,60.416666666666664,39.58333333333333
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,-77.60433333333334,107.32175000000001,119.85299294934886,0.2808452581626934,12.5,87.5
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,8.181666666666667,8.61075,9.84461847491647,0.0866395363045263,85.41666666666666,14.583333333333334
visualcrossing,precipitation,48,48.0,100.0,0.0,0.04070833333333333,0.10095833333333333,0.34754358239890815,-0.06388427626136903,6.25,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,4.298208333333333,6.271791666666666,7.814626441274507,-0.8084140303378592,64.58333333333334,35.41666666666667
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,-78.771,86.113625,101.17822183198979,0.2768466063557524,6.25,93.75
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,-0.6896201187007641,1.9964395741851166,2.38659536955359,-0.258221030558403,41.66666666666667,58.333333333333336
