provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
metno,temperature_2m,48,48,100.0,0.0,3.3919583333333336,6.851041666666666,7.976593962964394,-0.4276486864398279,66.66666666666666,33.33333333333333
metno,wind_direction_100m,48,48,100.0,0.0,-57.4480625,77.61322916666666,81.29099319176858,-0.30521776288058416,18.75,81.25
metno,wind_speed_100m,48,48,100.0,0.0,-1.436600450497477,1.8384462613541175,2.0316700686638174,0.4101945743592769,22.916666666666664,77.08333333333334
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,3.8086249999999997,7.077958333333334,8.30117343612737,-0.56800820933311,64.58333333333334,35.41666666666667
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,-49.937645833333335,56.314770833333334,63.02101464276949,-0.19057042941602445,16.666666666666664,83.33333333333334
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,14.604541666666668,14.604541666666668,15.953528808960522,0.5736457155929544,100.0,0.0
openweather,precipitation,16,16,100.0,0.0,-0.03125,0.03125,0.09394147114027969,,0.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,3.314375,6.354625,7.482914664420543,-0.2115139234309127,62.5,37.5
openweather,wind_direction_100m,16,16,100.0,0.0,-60.306749999999994,63.335875,71.5976485909279,-0.3274674124734674,12.5,87.5
openweather,wind_speed_100m,16,16,100.0,0.0,-0.45260430382250194,1.4819213094714692,1.7570706546005006,0.16123146710278632,31.25,68.75
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,1.6982083333333335,6.768916666666666,7.837237581997031,-0.3503507826172503,56.25,43.75
visualcrossing,wind_direction_100m,48,48,100.0,0.0,-83.75014583333333,90.38285416666668,99.22401773228849,-0.18740636330985785,10.416666666666668,89.58333333333334
visualcrossing,wind_speed_100m,48,48,100.0,0.0,-2.7882650346936106,2.9779410029574698,3.4213300231576933,-0.3679588423495053,14.583333333333334,85.41666666666666
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,3.225291666666667,6.746333333333332,7.981932279634216,-0.5236075710120512,62.5,37.5
weatherapi,wind_direction_100m,48,48,100.0,0.0,-57.9168125,63.4189375,72.06441848515928,-0.3017264790271897,16.666666666666664,83.33333333333334
weatherapi,wind_speed_100m,48,48,100.0,0.0,-0.5215483016153529,1.658205220796266,1.9178953932047353,0.14146145785144718,29.166666666666668,70.83333333333334
