provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,1.1069999999999995,6.929499999999999,7.818905853762405,-0.39453554590323253,62.5,37.5
metno,wind_direction_100m,8,8.0,100.0,0.0,15.652374999999996,127.359125,129.29551499810424,0.10598519573025741,62.5,37.5
metno,wind_speed_100m,8,8.0,100.0,0.0,-1.4758719746256155,2.315287895029318,2.6569525648366104,-0.6868805513029796,25.0,75.0
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,0.9565416666666667,6.621750000000001,7.57151590392131,-0.45919307531345704,52.083333333333336,47.91666666666667
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,-21.2085,137.34558333333334,141.40370561121563,-0.24483302960878398,37.5,62.5
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,10.479583333333332,10.479583333333334,10.781695155061039,-0.110283238927242,100.0,0.0
visualcrossing,precipitation,48,48.0,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,1.5982083333333337,5.566708333333334,6.328951249351401,-0.2689778005048437,58.333333333333336,41.66666666666667
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,-91.40225,106.90179166666667,117.73960121351128,0.010261971551148321,8.333333333333332,91.66666666666666
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,-2.268599872793248,3.194390923576446,3.5637252416673593,-0.5008858115845779,20.833333333333336,79.16666666666666
