time,latitude,longitude,variable,value
2025-08-19T00:00,-33.8688,151.2093,temperature_2m,12.3
2025-08-19T00:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T00:00,-33.8688,151.2093,wind_speed_100m,33.2
2025-08-19T00:00,-33.8688,151.2093,wind_direction_100m,162.0
2025-08-19T00:00,-33.8688,151.2093,wind_speed_10m,7.7
2025-08-19T00:00,-33.8688,151.2093,wind_direction_10m,217.0
2025-08-19T01:00,-33.8688,151.2093,temperature_2m,13.5
2025-08-19T01:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T01:00,-33.8688,151.2093,wind_speed_100m,39.4
2025-08-19T01:00,-33.8688,151.2093,wind_direction_100m,157.0
2025-08-19T01:00,-33.8688,151.2093,wind_speed_10m,8.6
2025-08-19T01:00,-33.8688,151.2093,wind_direction_10m,195.0
2025-08-19T02:00,-33.8688,151.2093,temperature_2m,14.1
2025-08-19T02:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T02:00,-33.8688,151.2093,wind_speed_100m,47.2
2025-08-19T02:00,-33.8688,151.2093,wind_direction_100m,156.0
2025-08-19T02:00,-33.8688,151.2093,wind_speed_10m,10.9
2025-08-19T02:00,-33.8688,151.2093,wind_direction_10m,172.0
2025-08-19T03:00,-33.8688,151.2093,temperature_2m,14.5
2025-08-19T03:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T03:00,-33.8688,151.2093,wind_speed_100m,53.2
2025-08-19T03:00,-33.8688,151.2093,wind_direction_100m,156.0
2025-08-19T03:00,-33.8688,151.2093,wind_speed_10m,13.0
2025-08-19T03:00,-33.8688,151.2093,wind_direction_10m,161.0
2025-08-19T04:00,-33.8688,151.2093,temperature_2m,14.5
2025-08-19T04:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T04:00,-33.8688,151.2093,wind_speed_100m,55.1
2025-08-19T04:00,-33.8688,151.2093,wind_direction_100m,156.0
2025-08-19T04:00,-33.8688,151.2093,wind_speed_10m,13.2
2025-08-19T04:00,-33.8688,151.2093,wind_direction_10m,158.0
2025-08-19T05:00,-33.8688,151.2093,temperature_2m,14.1
2025-08-19T05:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T05:00,-33.8688,151.2093,wind_speed_100m,55.0
2025-08-19T05:00,-33.8688,151.2093,wind_direction_100m,157.0
2025-08-19T05:00,-33.8688,151.2093,wind_speed_10m,12.1
2025-08-19T05:00,-33.8688,151.2093,wind_direction_10m,157.0
2025-08-19T06:00,-33.8688,151.2093,temperature_2m,13.6
2025-08-19T06:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T06:00,-33.8688,151.2093,wind_speed_100m,53.9
2025-08-19T06:00,-33.8688,151.2093,wind_direction_100m,158.0
2025-08-19T06:00,-33.8688,151.2093,wind_speed_10m,10.4
2025-08-19T06:00,-33.8688,151.2093,wind_direction_10m,160.0
2025-08-19T07:00,-33.8688,151.2093,temperature_2m,12.9
2025-08-19T07:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T07:00,-33.8688,151.2093,wind_speed_100m,51.6
2025-08-19T07:00,-33.8688,151.2093,wind_direction_100m,159.0
2025-08-19T07:00,-33.8688,151.2093,wind_speed_10m,8.1
2025-08-19T07:00,-33.8688,151.2093,wind_direction_10m,167.0
2025-08-19T08:00,-33.8688,151.2093,temperature_2m,12.0
2025-08-19T08:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T08:00,-33.8688,151.2093,wind_speed_100m,48.2
2025-08-19T08:00,-33.8688,151.2093,wind_direction_100m,160.0
2025-08-19T08:00,-33.8688,151.2093,wind_speed_10m,5.8
2025-08-19T08:00,-33.8688,151.2093,wind_direction_10m,184.0
2025-08-19T09:00,-33.8688,151.2093,temperature_2m,11.2
2025-08-19T09:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T09:00,-33.8688,151.2093,wind_speed_100m,45.3
2025-08-19T09:00,-33.8688,151.2093,wind_direction_100m,161.0
2025-08-19T09:00,-33.8688,151.2093,wind_speed_10m,4.5
2025-08-19T09:00,-33.8688,151.2093,wind_direction_10m,209.0
2025-08-19T10:00,-33.8688,151.2093,temperature_2m,10.3
2025-08-19T10:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T10:00,-33.8688,151.2093,wind_speed_100m,44.7
2025-08-19T10:00,-33.8688,151.2093,wind_direction_100m,159.0
2025-08-19T10:00,-33.8688,151.2093,wind_speed_10m,3.8
2025-08-19T10:00,-33.8688,151.2093,wind_direction_10m,221.0
2025-08-19T11:00,-33.8688,151.2093,temperature_2m,9.5
2025-08-19T11:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T11:00,-33.8688,151.2093,wind_speed_100m,44.7
2025-08-19T11:00,-33.8688,151.2093,wind_direction_100m,157.0
2025-08-19T11:00,-33.8688,151.2093,wind_speed_10m,3.1
2025-08-19T11:00,-33.8688,151.2093,wind_direction_10m,234.0
2025-08-19T12:00,-33.8688,151.2093,temperature_2m,9.0
2025-08-19T12:00,-33.8688,151.2093,precipitation,0.0
2025-08-19T12:00,-33.8688,151.2093,wind_speed_100m,43.2
2025-08-19T12:00,-33.8688,151.2093,wind_direction_100m,155.0
2025-08-19T12:00,-33.8688,151.2093,wind_speed_10m,2.6
2025-08-19T12:00,-33.8688,151.2093,wind_direction_10m,236.0
2025-08-19T13:00,-33.8688,151.2093,temperature_2m,12.5
2025-08-19T13:00,-33.8688,151.2093,precipitation,0.2
2025-08-19T13:00,-33.8688,151.2093,wind_speed_100m,37.6
2025-08-19T13:00,-33.8688,151.2093,wind_direction_100m,157.0
2025-08-19T13:00,-33.8688,151.2093,wind_speed_10m,23.9
2025-08-19T13:00,-33.8688,151.2093,wind_direction_10m,162.0
2025-08-19T14:00,-33.8688,151.2093,temperature_2m,12.2
2025-08-19T14:00,-33.8688,151.2093,precipitation,0.2
2025-08-19T14:00,-33.8688,151.2093,wind_speed_100m,30.7
2025-08-19T14:00,-33.8688,151.2093,wind_direction_100m,162.0
2025-08-19T14:00,-33.8688,151.2093,wind_speed_10m,19.8
2025-08-19T14:00,-33.8688,151.2093,wind_direction_10m,164.0
2025-08-19T15:00,-33.8688,151.2093,temperature_2m,12.1
2025-08-19T15:00,-33.8688,151.2093,precipitation,0.2
2025-08-19T15:00,-33.8688,151.2093,wind_speed_100m,25.9
2025-08-19T15:00,-33.8688,151.2093,wind_direction_100m,166.0
2025-08-19T15:00,-33.8688,151.2093,wind_speed_10m,17.0
2025-08-19T15:00,-33.8688,151.2093,wind_direction_10m,167.0
2025-08-19T16:00,-33.8688,151.2093,temperature_2m,12.1
2025-08-19T16:00,-33.8688,151.2093,precipitation,0.2
2025-08-19T16:00,-33.8688,151.2093,wind_speed_100m,25.3
2025-08-19T16:00,-33.8688,151.2093,wind_direction_100m,169.0
2025-08-19T16:00,-33.8688,151.2093,wind_speed_10m,16.7
2025-08-19T16:00,-33.8688,151.2093,wind_direction_10m,166.0
2025-08-19T17:00,-33.8688,151.2093,temperature_2m,12.3
2025-08-19T17:00,-33.8688,151.2093,precipitation,0.2
2025-08-19T17:00,-33.8688,151.2093,wind_speed_100m,26.8
