provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
metno,temperature_2m,48,48,100.0,0.0,1.6919583333333332,4.817166666666666,5.4593842372560655,-0.0832453431321276,62.5,37.5
metno,wind_direction_100m,48,48,100.0,0.0,-59.07514583333333,132.28327083333332,135.82086463403735,0.27356474866791863,25.0,75.0
metno,wind_speed_100m,48,48,100.0,0.0,-2.5398753515230763,2.9620193422545475,3.506391584608439,-0.7227685159367575,22.916666666666664,77.08333333333334
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,0.7294583333333334,4.824291666666666,5.468285570755548,-0.25135976561492074,54.166666666666664,45.83333333333333
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,-32.68764583333333,52.4394375,62.9680087023363,0.20228703527356942,25.0,75.0
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,6.008708333333334,6.59425,8.182024135770643,0.026007691376871065,81.25,18.75
openweather,precipitation,16,16,100.0,0.0,-0.03125,0.03125,0.09394147114027969,,0.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,0.8306250000000005,4.871874999999999,5.487707797887929,-0.18797271465381246,50.0,50.0
openweather,wind_direction_100m,16,16,100.0,0.0,-56.244249999999994,72.573375,85.17723013663922,0.47266981565464267,18.75,81.25
openweather,wind_speed_100m,16,16,100.0,0.0,-2.1518213954808263,2.4524290068992993,3.102555467029417,-0.44151325375438166,18.75,81.25
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,-0.2142916666666663,4.926958333333332,5.668928947928935,-0.1586808184090375,50.0,50.0
visualcrossing,wind_direction_100m,48,48,100.0,0.0,3.372770833333334,108.66860416666668,117.7948851603392,0.27748944143484355,50.0,50.0
visualcrossing,wind_speed_100m,48,48,100.0,0.0,-3.12770948514039,3.311620766632314,3.8108102740359024,-0.6163652924021826,8.333333333333332,91.66666666666666
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,0.1773750000000003,4.950291666666667,5.679402220597986,-0.35567791167282614,50.0,50.0
weatherapi,wind_direction_100m,48,48,100.0,0.0,-55.187645833333335,62.183229166666656,74.22555318040749,0.453517838119953,14.583333333333334,85.41666666666666
weatherapi,wind_speed_100m,48,48,100.0,0.0,-2.1310941436627604,2.5310631673856983,3.1084452302010064,-0.3336208885248072,16.666666666666664,83.33333333333334
