provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
metno,temperature_2m,48,48,100.0,0.0,-0.2601249999999998,4.108625,4.5701501160611055,-0.0686802282993884,50.0,50.0
metno,wind_direction_100m,48,48,100.0,0.0,-79.76056249999999,104.19043749999999,108.47417989213301,0.13593771409242114,10.416666666666668,89.58333333333334
metno,wind_speed_100m,48,48,100.0,0.0,-1.986790033686096,2.6853356909684627,3.2278318210554304,-0.49223265375208747,22.916666666666664,77.08333333333334
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.02804166666666667,0.02804166666666667,0.09720618121635406,0.7622640049385969,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,-0.22887499999999983,3.966125,4.393730998062277,0.017720865326458418,50.0,50.0
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,-26.56264583333333,44.6588125,54.1406112507438,0.17568852596288329,33.33333333333333,66.66666666666666
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,8.229541666666666,8.297,9.843713634853465,0.26251741470596857,97.91666666666666,2.083333333333333
openweather,precipitation,16,16,100.0,0.0,-0.03125,0.03125,0.09394147114027969,,0.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,-0.04687499999999967,4.493124999999999,4.969208123534372,-0.4582437016060196,50.0,50.0
openweather,wind_direction_100m,16,16,100.0,0.0,-70.11925,70.11925,74.73038059417335,0.7087805289091831,0.0,100.0
openweather,wind_speed_100m,16,16,100.0,0.0,0.08773978156168916,2.2090929335771343,2.772701801706853,-0.5371166611776238,62.5,37.5
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,-0.46220833333333317,3.9815416666666663,4.4273912089024465,-0.26485362841571825,45.83333333333333,54.166666666666664
visualcrossing,wind_direction_100m,48,48,100.0,0.0,-76.47514583333333,79.53464583333333,82.68410578281758,0.5664959543593618,2.083333333333333,97.91666666666666
visualcrossing,wind_speed_100m,48,48,100.0,0.0,-1.0765641092179072,1.825288688110496,2.208298799308244,-0.13284197714733895,31.25,68.75
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,-0.42262500000000003,4.209875,4.628519516720942,-0.4058740232883436,50.0,50.0
weatherapi,wind_direction_100m,48,48,100.0,0.0,-65.06264583333333,66.5263125,71.80480946012018,0.6502505826725572,2.083333333333333,97.91666666666666
weatherapi,wind_speed_100m,48,48,100.0,0.0,-0.6309427216645518,2.0002280213443266,2.6030766572219606,-0.21138772608377998,41.66666666666667,58.333333333333336
