provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,47,47,100.0,0.0,0.10965957446808511,0.16693617021276597,0.29628027271487384,-0.1596921614835026,36.17021276595745,10.638297872340425
metno,temperature_2m,47,47,100.0,0.0,-7.350404255319149,7.350404255319147,7.841875550462158,0.8160984026431279,0.0,100.0
metno,wind_direction_100m,47,47,100.0,0.0,36.41202127659575,62.8646170212766,76.74356774945308,-0.4808478157323798,65.95744680851064,34.04255319148936
metno,wind_speed_100m,47,47,100.0,0.0,2.793010221908282,3.958274679358351,4.862743678286959,-0.013277230636847015,72.3404255319149,27.659574468085108
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,-8.564291666666668,8.564291666666666,8.818663990839731,0.8712593528505991,0.0,100.0
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,37.7706875,52.01910416666667,67.52452266846592,-0.3555181844514842,64.58333333333334,35.41666666666667
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,17.342041666666667,17.40975,20.15777089094096,0.10019295468498646,95.83333333333334,4.166666666666666
openweather,precipitation,16,16,100.0,0.0,0.14854166666666666,0.2110416666666667,0.4341458728225905,-0.165226064317647,31.25,12.5
openweather,temperature_2m,16,16,100.0,0.0,-6.733124999999999,6.733124999999999,7.3400108565996,0.7503957695081636,0.0,100.0
openweather,wind_direction_100m,16,16,100.0,0.0,38.005750000000006,51.10925,68.5970382651467,-0.4270904958173788,62.5,37.5
openweather,wind_speed_100m,16,16,100.0,0.0,1.7591578205957465,2.810766676313155,3.342360948771512,0.1793891121368402,75.0,25.0
visualcrossing,precipitation,48,48,100.0,0.0,0.16154166666666667,0.2217916666666667,0.4457613804866156,-0.14387434992325235,27.083333333333332,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,-7.124708333333333,7.124708333333333,7.69950439422348,0.7690964935065576,0.0,100.0
visualcrossing,wind_direction_100m,48,48,100.0,0.0,41.57277083333333,54.6433125,70.47816655961026,-0.3921837983090368,68.75,31.25
visualcrossing,wind_speed_100m,48,48,100.0,0.0,0.5812439769688528,2.245827926185655,2.731515499503652,0.18462671862595734,62.5,37.5
weatherapi,precipitation,48,48,100.0,0.0,0.146125,0.20095833333333335,0.4368894310921243,-0.11309139041067855,31.25,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,-6.449708333333334,6.7425,8.562819166800928,-0.5757653965744327,18.75,81.25
weatherapi,wind_direction_100m,48,48,100.0,0.0,35.91652083333334,43.8423125,54.32565150648602,0.5097109029666173,83.33333333333334,16.666666666666664
weatherapi,wind_speed_100m,48,48,100.0,0.0,0.8104896366307773,2.2350151917190857,2.777623939309112,0.383391088225546,60.416666666666664,39.58333333333333
