provider,variable,n_provider (l pkt API),n (l dopasowań z ERA5),coverage_pct (% pokrycia ERA5),derived_n (ile wartości dorobiono z 10 m),derived_pct (% dorobionych wartości),bias_mean (błąd średni: pred − ERA5),mae (średni błąd bezwzględny),rmse (pierwiastek średniego błędu kwadratowego),corr (korelacja P),over_pct (% zawyżenia),under_pct (% zanizenia)
metno,precipitation,63,15,23.81,0,0.0,-0.0672,0.0672,0.2602644808651384,,0.0,6.666666666666667
metno,temperature_2m,79,15,18.99,0,0.0,5.535399999999999,5.676599999999999,6.605096905673173,0.23878864197875524,86.66666666666667,13.333333333333334
metno,wind_direction_100m,79,15,18.99,79,100.0,38.037266666666675,130.4862,135.59915663331637,-0.02905012734163305,60.0,40.0
metno,wind_speed_100m,79,15,18.99,79,100.0,-1.40576456215907,1.4578688426365933,2.0853404201547248,-0.7187878319352796,13.333333333333334,86.66666666666667
openmeteo,precipitation,168,24,14.29,0,0.0,-0.137125,0.137125,0.4912379345422474,,0.0,12.5
openmeteo,temperature_2m,168,24,14.29,0,0.0,2.026375,6.119458333333333,6.86345038045734,-0.5652409895527096,58.333333333333336,41.66666666666667
openmeteo,wind_direction_100m,168,24,14.29,0,0.0,51.036875,96.51412499999999,102.64395232164598,0.16289873667176322,79.16666666666666,20.833333333333336
openmeteo,wind_speed_100m,168,24,14.29,0,0.0,7.949916666666667,7.96525,8.73843684057204,0.16578297111511442,95.83333333333334,4.166666666666666
openweather,temperature_2m,40,4,10.0,0,0.0,6.383249999999999,6.3832499999999985,7.085463975633494,0.44931160411388116,100.0,0.0
openweather,wind_direction_100m,40,4,10.0,40,100.0,21.79175,128.78124999999997,132.27948482380023,-0.3988202137208127,50.0,50.0
openweather,wind_speed_100m,40,4,10.0,40,100.0,-0.8131831192555209,1.3548566445951744,1.6967287626558276,-0.8861055037031177,50.0,50.0
visualcrossing,precipitation,166,24,14.46,0,0.0,-0.137125,0.137125,0.4912379345422474,,0.0,12.5
visualcrossing,temperature_2m,166,24,14.46,0,0.0,0.0930416666666664,6.731125000000001,7.738836656220796,-0.34017936265880344,54.166666666666664,45.83333333333333
visualcrossing,wind_direction_100m,166,24,14.46,166,100.0,30.036875,92.44395833333333,100.4299588347106,-0.028065930089486362,58.333333333333336,41.66666666666667
visualcrossing,wind_speed_100m,166,24,14.46,166,100.0,-2.7981348994736557,2.9270363124683616,3.574392824548951,-0.17802378146908984,8.333333333333332,91.66666666666666
weatherapi,precipitation,168,24,14.29,0,0.0,-0.137125,0.137125,0.4912379345422474,,0.0,12.5
weatherapi,temperature_2m,168,24,14.29,0,0.0,1.4388749999999997,6.398625,7.222406186652755,-0.6352329729370697,58.333333333333336,41.66666666666667
weatherapi,wind_direction_100m,168,24,14.29,168,100.0,54.161875,95.80579166666666,109.87518615020257,-0.012774927513649127,79.16666666666666,20.833333333333336
weatherapi,wind_speed_100m,168,24,14.29,168,100.0,-2.0548963397276268,2.33662794254216,2.8515590024189232,-0.9328150164486962,25.0,75.0
