provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,6.432,7.33925,8.48193455232944,-0.616182356776053,75.0,25.0
metno,wind_direction_100m,8,8.0,100.0,0.0,-11.410125,63.258624999999995,75.31218310223785,0.20079095781584846,37.5,62.5
metno,wind_speed_100m,8,8.0,100.0,0.0,-0.9025165142501075,2.4220391440742026,2.927112524937477,-0.5450277686025212,62.5,37.5
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,0.063625,0.123875,0.2494892282243865,-0.1334077354731301,25.0,10.416666666666668
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,6.160708333333333,6.60925,7.980187377708203,-0.32187892619359015,85.41666666666666,14.583333333333334
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,-28.5835,56.94454166666666,74.84720297991547,0.1251189197326202,27.083333333333332,72.91666666666666
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,9.075416666666667,9.834458333333332,12.036052630188465,-0.5868123879324413,83.33333333333334,16.666666666666664
visualcrossing,precipitation,48,48.0,100.0,0.0,0.207375,0.267625,0.8850347686202314,-0.08173649433454411,12.5,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,6.221125,6.805208333333333,8.230809938882079,-0.42577720695248794,81.25,18.75
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,-26.698083333333333,46.04441666666668,61.87028916545216,0.3523422606267089,25.0,75.0
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,-0.5198978934773743,2.7399722342268924,3.207282231589517,-0.7341802743321243,41.66666666666667,58.333333333333336
