provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,47,47,100.0,0.0,-0.03076595744680851,0.03076595744680851,0.10893624916885436,,0.0,10.638297872340425
metno,temperature_2m,47,47,100.0,0.0,14.187893617021277,14.187893617021277,14.830957538562314,0.3341682364388732,100.0,0.0
metno,wind_direction_100m,47,47,100.0,0.0,45.063085106382985,73.53342553191489,81.03625392680341,-0.15819103077750976,68.08510638297872,31.914893617021278
metno,wind_speed_100m,47,47,100.0,0.0,-0.022383192804722913,2.489195845169917,2.9434005685268545,-0.4508538628712261,46.808510638297875,53.191489361702125
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,13.362791666666666,13.362791666666666,14.070170767146596,-0.27747902018527076,100.0,0.0
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,37.7081875,104.0814375,114.49078909066951,-0.26461683350585663,62.5,37.5
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,9.387875,9.539708333333333,12.400820629767479,-0.28870756038231676,89.58333333333334,10.416666666666668
openweather,precipitation,16,16,100.0,0.0,-0.03125,0.03125,0.09394147114027969,,0.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,14.70125,14.701250000000002,15.69618578269893,-0.16541167974942914,100.0,0.0
openweather,wind_direction_100m,16,16,100.0,0.0,41.443250000000006,97.179,106.74170885249121,-0.035977260768413746,62.5,37.5
openweather,wind_speed_100m,16,16,100.0,0.0,-0.3805005110783094,2.1700824767902014,2.5688280310517424,-0.18854178452552128,43.75,56.25
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,13.189875,13.189875,13.838847389986396,0.21710131958570647,100.0,0.0
visualcrossing,wind_direction_100m,48,48,100.0,0.0,38.70610416666667,96.61164583333333,106.56279191133036,-0.20948196248432646,64.58333333333334,35.41666666666667
visualcrossing,wind_speed_100m,48,48,100.0,0.0,-0.32206435917269566,2.1468068713551847,2.5863998650848656,-0.17800761213563326,37.5,62.5
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,13.481541666666667,13.481541666666667,14.454768720045298,-0.39453932007429393,100.0,0.0
weatherapi,wind_direction_100m,48,48,100.0,0.0,64.85402083333334,101.25277083333334,110.68003223980452,-0.6347975601149007,75.0,25.0
weatherapi,wind_speed_100m,48,48,100.0,0.0,0.05518551584991014,2.969604084187999,3.3990500561598216,-0.7605214303556406,41.66666666666667,58.333333333333336
