provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,6.3695,6.3695,6.853117082758764,0.8339479571121983,100.0,0.0
metno,wind_direction_100m,8,8.0,100.0,0.0,-32.910125,57.168375,71.67069222230938,0.57956810941694,25.0,75.0
metno,wind_speed_100m,8,8.0,100.0,0.0,-3.022194276850471,3.022418224017815,3.327327288681647,0.41987808673921995,12.5,87.5
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,0.007375000000000003,0.067625,0.1336782517839009,-0.15682846672075798,25.0,10.416666666666668
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,6.821124999999999,6.821124999999999,7.6565747182840616,0.7313073160748423,100.0,0.0
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,-21.854333333333333,21.986625000000004,31.45760642912935,0.538753021425991,2.083333333333333,97.91666666666666
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,6.535833333333334,6.777250000000001,8.182904970119107,-0.5776196846358777,89.58333333333334,10.416666666666668
visualcrossing,precipitation,48,48.0,100.0,0.0,0.076125,0.136375,0.3472437304449619,-0.0989542507194814,18.75,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,7.029458333333333,7.029458333333333,8.150970223435571,0.3904476324101585,100.0,0.0
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,-19.666833333333333,19.769125,23.974305911051243,0.8087900639236741,2.083333333333333,97.91666666666666
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,0.29573403247768365,1.9657048548675855,2.3912107511756435,-0.494017839703936,47.91666666666667,52.083333333333336
