provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,47,47,100.0,0.0,-0.03076595744680851,0.03076595744680851,0.10893624916885436,,0.0,10.638297872340425
metno,temperature_2m,47,47,100.0,0.0,7.202787234042553,9.04355319148936,11.373411669327721,-0.5967766713465221,70.2127659574468,29.78723404255319
metno,wind_direction_100m,47,47,100.0,0.0,1.482234042553195,153.42163829787233,156.81571302165278,-0.44763884577153795,51.06382978723404,48.93617021276596
metno,wind_speed_100m,47,47,100.0,0.0,0.9239675348299005,2.0554592491592074,2.600351344647544,0.03147863520075609,59.57446808510638,40.42553191489361
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,6.308625,8.415625,10.34645496857096,-0.6460362399843036,68.75,31.25
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,51.979020833333344,148.0370625,152.32417909381348,-0.33787413965828383,70.83333333333334,29.166666666666668
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,9.854541666666666,10.105833333333335,12.82915633592742,-0.3177667340569678,93.75,6.25
openweather,precipitation,16,16,100.0,0.0,-0.03125,0.03125,0.09394147114027969,,0.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,6.79625,8.3435,10.27126261104252,-0.641477277414529,75.0,25.0
openweather,wind_direction_100m,16,16,100.0,0.0,49.818250000000006,145.17125,148.65477047087995,-0.6956494188602641,68.75,31.25
openweather,wind_speed_100m,16,16,100.0,0.0,-1.1249938891719617,2.9404342433959183,3.37019898794493,-0.5506847301246588,31.25,68.75
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,6.375291666666667,8.334583333333333,10.225627792463404,-0.6857389574160856,70.83333333333334,29.166666666666668
visualcrossing,wind_direction_100m,48,48,100.0,0.0,24.185270833333345,147.8996875,150.78185865383196,-0.42725089799213,60.416666666666664,39.58333333333333
visualcrossing,wind_speed_100m,48,48,100.0,0.0,-2.2758808760808176,2.9341237361849815,3.4531006714820305,-0.5853189551572409,18.75,81.25
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,5.898208333333334,8.2965,10.047243050542107,-0.7511104509964821,64.58333333333334,35.41666666666667
weatherapi,wind_direction_100m,48,48,100.0,0.0,85.66652083333334,149.6403125,153.29065174238175,-0.4734827721213034,79.16666666666666,20.833333333333336
weatherapi,wind_speed_100m,48,48,100.0,0.0,-0.6381820582854548,2.625761784209716,3.030836181254683,-0.2904635075935952,33.33333333333333,66.66666666666666
