provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,8.6695,8.847249999999999,11.208317837659672,-0.8073771161429977,87.5,12.5
metno,wind_direction_100m,8,8.0,100.0,0.0,-7.972625000000008,112.944125,121.62827117337893,0.2491694530674003,37.5,62.5
metno,wind_speed_100m,8,8.0,100.0,0.0,-2.605208487486465,2.813925329335812,3.3496384966312527,-0.36863968786187856,12.5,87.5
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,0.09904166666666668,0.11816666666666666,0.1910145064299219,0.33563272443954983,45.83333333333333,4.166666666666666
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,11.244041666666666,11.244041666666666,12.370104375064908,-0.6808965789869328,100.0,0.0
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,90.99983333333334,108.23254166666668,116.0985127765066,0.07895502710559527,85.41666666666666,14.583333333333334
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,7.525416666666666,7.812708333333334,9.196700744469906,0.33421909115152754,91.66666666666666,8.333333333333332
visualcrossing,precipitation,48,48.0,100.0,0.0,-0.01970833333333333,0.04054166666666667,0.12313221214071754,-0.05174474502233306,4.166666666666666,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,10.937791666666667,10.937791666666664,12.11381369552958,-0.5626977481742299,100.0,0.0
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,45.96233333333333,100.136375,108.1296888875422,-0.004112518693907613,66.66666666666666,33.33333333333333
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,-0.3751111610593167,1.5362555371626454,1.8919806485815969,0.15155504765231503,47.91666666666667,52.083333333333336
