provider,variable,n_provider (l pkt API),n (l dopasowań z ERA5),coverage_pct (% pokrycia ERA5),derived_n (ile wartości dorobiono z 10 m),derived_pct (% dorobionych wartości),bias_mean (błąd średni: pred − ERA5),mae (średni błąd bezwzględny),rmse (pierwiastek średniego błędu kwadratowego),corr (korelacja P),over_pct (% zawyżenia),under_pct (% zanizenia)
metno,precipitation,62,62,100.0,0,0.0,-0.043435483870967746,0.043435483870967746,0.22689435512391393,,0.0,4.838709677419355
metno,temperature_2m,78,78,100.0,0,0.0,3.9525,7.277397435897435,8.45911030737321,-0.4459348985699813,66.66666666666666,33.33333333333333
metno,wind_direction_100m,78,78,100.0,78,100.0,-50.62997435897436,75.85635897435898,81.59932166211892,0.17081209059999902,8.974358974358974,91.02564102564102
metno,wind_speed_100m,78,78,100.0,78,100.0,-1.473923563647336,1.8778756008660333,2.3222743496721,-0.06409421749085664,26.923076923076923,73.07692307692307
openmeteo,precipitation,168,168,100.0,0,0.0,-0.06078571428571428,0.08340476190476191,0.31670205316068045,-0.029089771283567552,4.166666666666666,8.928571428571429
openmeteo,temperature_2m,168,168,100.0,0,0.0,1.8221964285714283,7.065422619047619,8.393962028134384,-0.42020990375401224,55.952380952380956,44.047619047619044
openmeteo,wind_direction_100m,168,168,100.0,0,0.0,-31.496880952380952,81.58027380952382,91.72565262938016,0.19628523221423963,22.023809523809522,77.97619047619048
openmeteo,wind_speed_100m,168,168,100.0,0,0.0,12.795583333333333,12.849142857142857,14.896114064221102,-0.06167914190704247,97.02380952380952,2.976190476190476
openweather,precipitation,40,40,100.0,0,0.0,-0.04516666666666667,0.1015,0.37277086348944527,0.10701985496082146,7.5,5.0
openweather,temperature_2m,40,40,100.0,0,0.0,4.7931,7.3401499999999995,8.879279179640655,-0.27397900760509425,67.5,32.5
openweather,wind_direction_100m,40,40,100.0,40,100.0,-14.477550000000003,78.50055,88.42342742565457,0.10800338903631525,30.0,70.0
openweather,wind_speed_100m,40,40,100.0,40,100.0,-0.3562446801797863,1.8731535841224183,2.53614521618234,-0.2634322063619861,45.0,55.00000000000001
visualcrossing,precipitation,166,166,100.0,0,0.0,-0.06693975903614457,0.07657831325301205,0.2983249623020677,0.3066020774502579,2.4096385542168677,9.036144578313253
visualcrossing,temperature_2m,166,166,100.0,0,0.0,2.6223012048192773,7.11378313253012,8.369233079401566,-0.3715314157519437,59.63855421686747,40.36144578313253
visualcrossing,wind_direction_100m,166,166,100.0,166,100.0,-41.01969277108434,90.51134337349396,101.14599430868616,0.21301934460007999,21.686746987951807,78.3132530120482
visualcrossing,wind_speed_100m,166,166,100.0,166,100.0,-1.7005329554894622,2.572246244782044,3.1221921974913025,-0.35484906571439395,25.301204819277107,74.69879518072288
weatherapi,precipitation,168,168,100.0,0,0.0,-0.05358333333333334,0.08977380952380952,0.3144257047531639,-0.051762396096230935,10.714285714285714,8.928571428571429
weatherapi,temperature_2m,168,168,100.0,0,0.0,5.077553571428571,8.228779761904761,9.860669636115949,-0.5300009313886505,67.26190476190477,32.73809523809524
weatherapi,wind_direction_100m,168,168,100.0,168,100.0,-6.461166666666667,90.61869047619048,103.21513722641009,0.12154990425300434,32.142857142857146,67.85714285714286
weatherapi,wind_speed_100m,168,168,100.0,168,100.0,-1.2684822743728963,1.994017155955751,2.472647788352476,-0.17766059491879918,29.761904761904763,70.23809523809523
