provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,47,47,100.0,0.0,-0.03076595744680851,0.03076595744680851,0.10893624916885436,,0.0,10.638297872340425
metno,temperature_2m,47,47,100.0,0.0,6.366617021276595,8.91448936170213,11.053253464430107,-0.3286465013535553,65.95744680851064,34.04255319148936
metno,wind_direction_100m,47,47,100.0,0.0,-24.247553191489356,45.23410638297873,59.600436984868104,0.5853036039392033,34.04255319148936,65.95744680851064
metno,wind_speed_100m,47,47,100.0,0.0,-0.8445253874373021,1.4288529566700237,1.7389206059302962,0.5633694442284957,23.404255319148938,76.59574468085107
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,6.048208333333334,8.597333333333333,10.929115796043765,-0.38200863631409737,60.416666666666664,39.58333333333333
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,-18.93764583333333,61.63352083333333,78.6210157651089,0.32039043133042117,35.41666666666667,64.58333333333334
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,10.587875,10.758083333333332,14.053704812551505,0.7176485515784294,95.83333333333334,4.166666666666666
openweather,precipitation,16,16,100.0,0.0,-0.027291666666666672,0.035208333333333335,0.09526643923462473,-0.09107785420130482,6.25,12.5
openweather,temperature_2m,16,16,100.0,0.0,5.907500000000001,7.07225,9.854868435194861,-0.21935466179338006,68.75,31.25
openweather,wind_direction_100m,16,16,100.0,0.0,-21.931749999999997,59.81875,76.94350871743504,0.561193820256406,37.5,62.5
openweather,wind_speed_100m,16,16,100.0,0.0,-0.9912109484176763,1.391946427893436,1.8104512462656717,0.7920647964443341,18.75,81.25
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,5.452375,7.9383333333333335,9.911663016366123,-0.40367691550591345,62.5,37.5
visualcrossing,wind_direction_100m,48,48,100.0,0.0,-22.37514583333333,60.26847916666666,77.6700641813659,-0.060452729993388556,35.41666666666667,64.58333333333334
visualcrossing,wind_speed_100m,48,48,100.0,0.0,-0.902820030316238,1.125595626456129,1.4565624165877833,0.7394609740303115,29.166666666666668,70.83333333333334
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,6.846125000000001,9.209125,11.084702540739046,-0.7439414577439569,72.91666666666666,27.083333333333332
weatherapi,wind_direction_100m,48,48,100.0,0.0,-15.31264583333333,36.2238125,52.395952403509504,0.44551317778678406,41.66666666666667,58.333333333333336
weatherapi,wind_speed_100m,48,48,100.0,0.0,-0.869036459418691,2.8230017907351033,3.27555654166361,-0.29579705964522224,37.5,62.5
