provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,47,47,100.0,0.0,0.05221276595744681,0.09353191489361702,0.18362508056571675,0.13233793952963274,27.659574468085108,6.382978723404255
metno,temperature_2m,47,47,100.0,0.0,8.526191489361702,8.531255319148936,10.433437012490995,-0.8987658204359578,97.87234042553192,2.127659574468085
metno,wind_direction_100m,47,47,100.0,0.0,-17.34117021276596,67.60036170212766,80.34881375456614,0.45419051159605117,23.404255319148938,76.59574468085107
metno,wind_speed_100m,47,47,100.0,0.0,-0.2648855667610951,2.960772328948072,3.3489237212845775,-0.5077448520405184,42.5531914893617,57.446808510638306
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.025958333333333333,0.034291666666666665,0.11159394398144253,-0.04245565638784411,2.083333333333333,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,7.9898750000000005,8.131041666666667,10.180785067141597,-0.8537781575327253,87.5,12.5
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,-53.6668125,53.66681249999999,61.91221267464791,-0.6303403274729809,0.0,100.0
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,12.704541666666666,12.704541666666666,13.786207562572578,-0.3109190135284592,100.0,0.0
openweather,precipitation,16,16,100.0,0.0,0.045833333333333316,0.10833333333333331,0.24805353364859684,-0.12573737878043345,50.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,9.83625,9.83625,11.09135381164085,-0.5298753418718607,100.0,0.0
openweather,wind_direction_100m,16,16,100.0,0.0,-54.681749999999994,54.681749999999994,61.893131959450876,-0.5875422824336798,0.0,100.0
openweather,wind_speed_100m,16,16,100.0,0.0,1.017270603685619,1.8298436181788464,2.5025432547355835,-0.2863117187350312,50.0,50.0
visualcrossing,precipitation,48,48,100.0,0.0,-0.011374999999999998,0.048875,0.15862390004872112,-0.04751838238972708,4.166666666666666,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,9.777375000000001,9.777375000000001,10.878759560875189,-0.7517206214710488,100.0,0.0
visualcrossing,wind_direction_100m,48,48,100.0,0.0,-55.1043125,55.10431249999999,62.1064681207803,-0.5173014755471179,0.0,100.0
visualcrossing,wind_speed_100m,48,48,100.0,0.0,0.18629794576181768,1.9825035634632018,2.401607513671636,-0.49031297289696074,47.91666666666667,52.083333333333336
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,9.464875000000001,9.464875,10.974482580817497,-0.7053459987152685,100.0,0.0
weatherapi,wind_direction_100m,48,48,100.0,0.0,-55.2293125,55.22931249999999,61.03684504683079,-0.16154705769569738,0.0,100.0
weatherapi,wind_speed_100m,48,48,100.0,0.0,0.6689203871553432,2.1180479407242454,2.4647433185880376,-0.5357409178347056,52.083333333333336,47.91666666666667
