provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,48,48,100.0,0.0,0.12820833333333334,0.1884583333333333,0.4471612777660129,-0.11405432932242282,18.75,10.416666666666668
metno,temperature_2m,48,48,100.0,0.0,7.1357083333333335,7.1357083333333335,7.500667831377861,0.9187921519927358,100.0,0.0
metno,wind_direction_100m,48,48,100.0,0.0,-16.952229166666665,30.844354166666665,40.04049225393589,0.21404217992277258,22.916666666666664,77.08333333333334
metno,wind_speed_100m,48,48,100.0,0.0,0.16184507539787926,1.0851548352742082,1.2935138267534942,0.5334491447575512,56.25,43.75
openmeteo,precipitation,72,48,66.66666666666667,0.0,0.04070833333333334,0.09679166666666668,0.20339585787326153,-0.10915525852635906,33.33333333333333,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,8.091958333333332,8.091958333333332,8.588702438863121,0.9109956152501251,100.0,0.0
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,1.9373541666666696,23.84885416666667,33.13980541993018,0.3112449364969554,45.83333333333333,54.166666666666664
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,9.919125,10.060583333333334,12.139930249319118,-0.023934604429880955,93.75,6.25
openweather,precipitation,16,16,100.0,0.0,0.8760416666666667,0.8960416666666667,2.434025158502316,-0.1019798067713758,37.5,6.25
openweather,temperature_2m,16,16,100.0,0.0,6.036875000000001,6.088500000000002,7.564064672846208,-0.19410773125689756,87.5,12.5
openweather,wind_direction_100m,16,16,100.0,0.0,-2.5567499999999974,15.661375000000003,22.050457109774392,0.6727717171502169,50.0,50.0
openweather,wind_speed_100m,16,16,100.0,0.0,0.2163103999489243,2.2461885454818478,2.7415485830545325,0.2017036963083967,56.25,43.75
visualcrossing,precipitation,48,48,100.0,0.0,0.9969583333333333,1.0036250000000002,3.6101152855552967,0.003385463320742943,33.33333333333333,2.083333333333333
visualcrossing,temperature_2m,48,48,100.0,0.0,6.308625,6.351375,7.753014548118257,-0.11307907835187017,95.83333333333334,4.166666666666666
visualcrossing,wind_direction_100m,48,48,100.0,0.0,-4.675145833333331,14.0921875,19.678495325375703,0.7025491094968441,41.66666666666667,58.333333333333336
visualcrossing,wind_speed_100m,48,48,100.0,0.0,0.8893179687250531,2.3194003771615406,2.8249577743931464,0.09702337902638883,54.166666666666664,45.83333333333333
weatherapi,precipitation,48,48,100.0,0.0,0.8330000000000001,0.8787916666666667,2.7378663149126425,-0.07238335982477806,43.75,6.25
weatherapi,temperature_2m,48,48,100.0,0.0,6.212791666666667,6.392333333333333,7.974632253799126,-0.4748617621665852,89.58333333333334,10.416666666666668
weatherapi,wind_direction_100m,48,48,100.0,0.0,-2.2709791666666646,31.288479166666665,38.20540312928046,-0.09474976951582563,52.083333333333336,47.91666666666667
weatherapi,wind_speed_100m,48,48,100.0,0.0,0.3182147464093814,1.8330769303324306,2.590397002326767,0.10260205480982548,64.58333333333334,35.41666666666667
