time,precipitation,temperature_2m,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m
2025-08-01 00:00:00+00:00,0.0,23.2,227.0,318.0,5.9,4.3
2025-08-01 01:00:00+00:00,0.0,22.9,222.0,318.0,4.3,4.3
2025-08-01 02:00:00+00:00,0.0,22.7,234.0,333.0,3.1,4.8
2025-08-01 03:00:00+00:00,0.0,22.6,232.0,343.0,4.1,4.9
2025-08-01 04:00:00+00:00,0.0,23.0,233.0,340.0,7.2,4.2
2025-08-01 05:00:00+00:00,0.0,24.0,231.0,343.0,10.2,3.8
2025-08-01 06:00:00+00:00,0.0,25.0,223.0,252.0,12.2,1.1
2025-08-01 07:00:00+00:00,0.0,25.7,212.0,198.0,13.6,7.2
2025-08-01 08:00:00+00:00,0.0,26.4,202.0,207.0,14.4,10.1
2025-08-01 09:00:00+00:00,0.0,26.9,195.0,208.0,16.8,14.7
2025-08-01 10:00:00+00:00,0.0,26.6,179.0,209.0,22.3,16.4
2025-08-01 11:00:00+00:00,0.0,26.8,172.0,208.0,24.7,18.7
2025-08-01 12:00:00+00:00,0.0,26.7,166.0,208.0,20.4,20.5
2025-08-01 13:00:00+00:00,0.0,26.4,170.0,215.0,19.8,22.0
2025-08-01 14:00:00+00:00,0.0,26.3,177.0,214.0,18.4,20.5
2025-08-01 15:00:00+00:00,0.0,26.1,192.0,216.0,19.5,17.0
2025-08-01 16:00:00+00:00,0.0,25.8,198.0,218.0,17.4,15.1
2025-08-01 17:00:00+00:00,0.0,25.6,197.0,224.0,17.0,14.5
2025-08-01 18:00:00+00:00,0.0,25.3,202.0,232.0,13.2,11.0
2025-08-01 19:00:00+00:00,0.0,25.0,216.0,231.0,11.6,9.2
2025-08-01 20:00:00+00:00,0.0,24.7,221.0,235.0,12.0,7.0
2025-08-01 21:00:00+00:00,0.0,24.7,210.0,240.0,8.7,5.8
2025-08-01 22:00:00+00:00,0.0,24.6,122.0,243.0,5.5,4.0
2025-08-01 23:00:00+00:00,0.0,24.5,97.0,265.0,9.1,4.0
2025-08-02 00:00:00+00:00,0.0,24.0,90.0,225.0,10.1,2.5
2025-08-02 01:00:00+00:00,0.2,23.8,96.0,204.0,9.8,4.3
2025-08-02 02:00:00+00:00,0.2,23.6,100.0,193.0,8.4,4.8
2025-08-02 03:00:00+00:00,0.3,23.7,113.0,209.0,7.4,7.4
2025-08-02 04:00:00+00:00,0.2,23.6,128.0,214.0,8.7,3.9
2025-08-02 05:00:00+00:00,0.2,24.0,131.0,198.0,12.0,4.6
2025-08-02 06:00:00+00:00,0.1,24.6,124.0,158.0,13.0,1.9
2025-08-02 07:00:00+00:00,0.1,25.8,120.0,156.0,11.6,7.9
2025-08-02 08:00:00+00:00,0.0,26.6,102.0,158.0,10.3,8.6
2025-08-02 09:00:00+00:00,0.0,27.0,102.0,157.0,10.3,9.4
2025-08-02 10:00:00+00:00,0.0,26.3,124.0,163.0,9.1,11.3
2025-08-02 11:00:00+00:00,0.0,26.7,149.0,180.0,17.3,11.9
2025-08-02 12:00:00+00:00,0.0,26.3,161.0,177.0,19.0,13.0
2025-08-02 13:00:00+00:00,0.0,26.7,152.0,188.0,17.9,13.1
2025-08-02 14:00:00+00:00,0.0,26.7,160.0,182.0,21.9,13.3
2025-08-02 15:00:00+00:00,0.0,26.3,171.0,188.0,21.8,13.4
2025-08-02 16:00:00+00:00,0.0,26.3,169.0,176.0,17.6,9.7
2025-08-02 17:00:00+00:00,0.0,25.8,134.0,146.0,14.0,8.3
2025-08-02 18:00:00+00:00,0.0,25.6,113.0,117.0,16.0,8.0
2025-08-02 19:00:00+00:00,0.0,25.5,107.0,102.0,17.3,8.8
2025-08-02 20:00:00+00:00,0.0,25.1,121.0,105.0,16.8,9.7
2025-08-02 21:00:00+00:00,0.0,25.1,126.0,123.0,15.5,10.7
2025-08-02 22:00:00+00:00,0.0,24.4,117.0,131.0,10.9,8.2
2025-08-02 23:00:00+00:00,0.2,23.9,124.0,140.0,8.3,5.6
2025-08-03 00:00:00+00:00,0.1,23.6,123.0,111.0,7.3,6.2
2025-08-03 01:00:00+00:00,0.1,23.6,120.0,129.0,10.0,4.6
2025-08-03 02:00:00+00:00,0.1,23.4,124.0,101.0,11.7,5.5
2025-08-03 03:00:00+00:00,0.2,22.8,116.0,93.0,11.6,6.5
2025-08-03 04:00:00+00:00,0.2,23.2,122.0,120.0,14.1,5.8
2025-08-03 05:00:00+00:00,0.0,24.7,137.0,157.0,18.1,9.4
2025-08-03 06:00:00+00:00,0.0,24.9,149.0,154.0,18.9,12.4
2025-08-03 07:00:00+00:00,0.0,25.0,171.0,149.0,9.1,13.9
2025-08-03 08:00:00+00:00,0.0,25.1,199.0,154.0,6.5,12.4
2025-08-03 09:00:00+00:00,0.0,25.4,203.0,171.0,11.8,13.5
2025-08-03 10:00:00+00:00,0.0,25.4,205.0,185.0,17.1,15.9
2025-08-03 11:00:00+00:00,0.0,25.5,201.0,188.0,18.5,16.0
2025-08-03 12:00:00+00:00,0.0,25.6,190.0,186.0,19.0,15.9
2025-08-03 13:00:00+00:00,0.0,25.7,186.0,182.0,23.2,16.6
2025-08-03 14:00:00+00:00,0.0,25.6,184.0,176.0,19.9,14.8
2025-08-03 15:00:00+00:00,0.0,25.5,189.0,183.0,15.7,13.0
2025-08-03 16:00:00+00:00,0.0,25.6,194.0,198.0,13.0,12.5
2025-08-03 17:00:00+00:00,0.0,25.3,192.0,209.0,13.6,11.1
2025-08-03 18:00:00+00:00,0.0,25.1,204.0,220.0,13.0,8.9
2025-08-03 19:00:00+00:00,0.0,25.0,220.0,233.0,11.8,9.0
2025-08-03 20:00:00+00:00,0.0,24.7,236.0,246.0,9.6,7.9
2025-08-03 21:00:00+00:00,0.0,24.5,238.0,262.0,9.4,5.4
2025-08-03 22:00:00+00:00,0.0,24.1,242.0,275.0,7.7,4.0
2025-08-03 23:00:00+00:00,0.0,23.8,245.0,304.0,6.8,3.9
2025-08-04 00:00:00+00:00,0.0,23.6,255.0,328.0,8.6,4.7
2025-08-04 01:00:00+00:00,0.0,23.5,258.0,322.0,7.0,4.1
2025-08-04 02:00:00+00:00,0.0,23.4,281.0,321.0,7.7,4.6
2025-08-04 03:00:00+00:00,0.0,23.3,285.0,326.0,8.2,5.2
2025-08-04 04:00:00+00:00,0.0,23.5,287.0,317.0,10.9,5.9
2025-08-04 05:00:00+00:00,0.0,24.4,278.0,320.0,13.4,5.6
2025-08-04 06:00:00+00:00,0.0,25.6,278.0,285.0,16.0,5.6
2025-08-04 07:00:00+00:00,0.0,26.5,263.0,230.0,15.6,11.2
2025-08-04 08:00:00+00:00,0.0,27.3,243.0,228.0,13.7,17.1
2025-08-04 09:00:00+00:00,0.0,27.6,223.0,225.0,14.8,19.9
2025-08-04 10:00:00+00:00,0.0,27.8,206.0,226.0,16.4,20.9
2025-08-04 11:00:00+00:00,0.0,27.8,200.0,224.0,18.8,21.9
2025-08-04 12:00:00+00:00,0.0,27.8,200.0,222.0,23.7,21.4
2025-08-04 13:00:00+00:00,0.0,27.6,207.0,217.0,26.6,22.4
2025-08-04 14:00:00+00:00,0.0,27.5,211.0,217.0,24.9,22.4
2025-08-04 15:00:00+00:00,0.0,27.2,215.0,222.0,24.6,21.9
2025-08-04 16:00:00+00:00,0.0,26.8,220.0,230.0,23.0,22.0
2025-08-04 17:00:00+00:00,0.0,26.4,227.0,233.0,23.2,17.5
2025-08-04 18:00:00+00:00,0.0,26.1,235.0,237.0,22.5,12.0
2025-08-04 19:00:00+00:00,0.0,25.7,248.0,242.0,17.9,9.8
2025-08-04 20:00:00+00:00,0.0,25.4,258.0,245.0,13.6,8.4
2025-08-04 21:00:00+00:00,0.0,25.2,260.0,253.0,12.4,6.0
2025-08-04 22:00:00+00:00,0.0,24.9,262.0,263.0,12.7,5.8
2025-08-04 23:00:00+00:00,0.0,24.6,270.0,266.0,10.1,5.4
2025-08-05 00:00:00+00:00,0.0,24.3,279.0,274.0,8.8,5.1
2025-08-05 01:00:00+00:00,0.0,23.9,291.0,270.0,8.1,5.0
2025-08-05 02:00:00+00:00,0.0,23.7,293.0,279.0,7.4,4.7
2025-08-05 03:00:00+00:00,0.0,23.5,292.0,279.0,6.6,4.7
2025-08-05 04:00:00+00:00,0.0,23.9,297.0,278.0,5.6,5.4
2025-08-05 05:00:00+00:00,0.0,25.3,304.0,270.0,2.6,4.7
2025-08-05 06:00:00+00:00,0.0,26.8,162.0,245.0,2.3,6.8
2025-08-05 07:00:00+00:00,0.0,27.6,140.0,220.0,6.1,8.9
2025-08-05 08:00:00+00:00,0.0,28.0,132.0,206.0,9.7,11.6
2025-08-05 09:00:00+00:00,0.0,28.0,128.0,202.0,12.8,12.4
2025-08-05 10:00:00+00:00,0.0,27.8,117.0,190.0,14.2,12.1
2025-08-05 11:00:00+00:00,0.0,27.8,119.0,185.0,17.2,12.6
2025-08-05 12:00:00+00:00,0.0,27.7,133.0,182.0,17.6,11.9
2025-08-05 13:00:00+00:00,0.0,27.4,146.0,191.0,15.6,13.2
2025-08-05 14:00:00+00:00,0.0,27.3,153.0,192.0,14.2,12.5
2025-08-05 15:00:00+00:00,0.0,27.0,156.0,197.0,11.4,10.1
2025-08-05 16:00:00+00:00,0.0,26.8,167.0,220.0,6.3,9.4
2025-08-05 17:00:00+00:00,0.0,26.5,203.0,238.0,5.5,5.5
2025-08-05 18:00:00+00:00,0.0,26.2,237.0,254.0,7.3,2.6
2025-08-05 19:00:00+00:00,0.0,25.8,259.0,266.0,7.3,4.7
2025-08-05 20:00:00+00:00,0.0,25.3,270.0,274.0,6.5,5.4
2025-08-05 21:00:00+00:00,0.0,25.1,282.0,290.0,8.5,4.2
