time,precipitation,temperature_2m,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m
2025-08-01 00:00:00+00:00,0.0,18.7,231.0,139.0,6.9,4.0
2025-08-01 01:00:00+00:00,0.0,18.4,247.0,135.0,4.7,5.0
2025-08-01 02:00:00+00:00,0.0,18.2,236.0,103.0,2.6,5.8
2025-08-01 03:00:00+00:00,0.3,18.5,169.0,81.0,1.8,6.5
2025-08-01 04:00:00+00:00,0.3,18.9,146.0,136.0,2.6,2.2
2025-08-01 05:00:00+00:00,0.2,18.5,198.0,151.0,2.3,1.1
2025-08-01 06:00:00+00:00,0.2,18.8,241.0,264.0,4.5,4.0
2025-08-01 07:00:00+00:00,0.4,18.7,256.0,294.0,7.4,5.0
2025-08-01 08:00:00+00:00,0.5,18.7,263.0,289.0,9.1,6.1
2025-08-01 09:00:00+00:00,0.7,17.9,270.0,263.0,10.1,9.0
2025-08-01 10:00:00+00:00,0.8,18.3,272.0,258.0,11.2,8.6
2025-08-01 11:00:00+00:00,0.0,18.2,270.0,260.0,11.5,8.3
2025-08-01 12:00:00+00:00,0.0,18.1,265.0,260.0,11.6,9.7
2025-08-01 13:00:00+00:00,0.0,17.8,256.0,251.0,12.2,10.1
2025-08-01 14:00:00+00:00,0.0,17.6,247.0,261.0,14.0,9.4
2025-08-01 15:00:00+00:00,0.0,17.3,240.0,225.0,17.1,9.4
2025-08-01 16:00:00+00:00,0.1,16.8,234.0,221.0,19.1,11.9
2025-08-01 17:00:00+00:00,0.1,16.7,230.0,230.0,19.7,12.2
2025-08-01 18:00:00+00:00,0.4,16.6,228.0,233.0,19.4,10.1
2025-08-01 19:00:00+00:00,0.9,16.2,225.0,238.0,18.8,10.1
2025-08-01 20:00:00+00:00,0.5,16.1,224.0,215.0,18.1,10.8
2025-08-01 21:00:00+00:00,0.4,15.8,224.0,228.0,17.1,9.4
2025-08-01 22:00:00+00:00,0.4,15.9,223.0,230.0,16.3,6.8
2025-08-01 23:00:00+00:00,0.2,16.0,218.0,232.0,16.4,5.8
2025-08-02 00:00:00+00:00,0.0,16.0,211.0,197.0,16.8,4.0
