time,precipitation,temperature_2m,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m
2025-08-01 00:00:00+00:00,0.0,15.1,222.0,219.0,16.8,5.1
2025-08-01 01:00:00+00:00,0.0,14.6,212.0,222.0,19.1,4.3
2025-08-01 02:00:00+00:00,0.0,14.4,213.0,194.0,20.3,4.5
2025-08-01 03:00:00+00:00,0.0,14.7,212.0,188.0,17.5,5.4
2025-08-01 04:00:00+00:00,0.0,15.5,212.0,195.0,17.5,8.6
2025-08-01 05:00:00+00:00,0.0,17.5,206.0,203.0,20.0,11.8
2025-08-01 06:00:00+00:00,0.0,18.6,203.0,199.0,20.8,11.0
2025-08-01 07:00:00+00:00,0.0,19.0,208.0,203.0,19.2,11.8
2025-08-01 08:00:00+00:00,0.0,20.4,221.0,204.0,23.2,11.4
2025-08-01 09:00:00+00:00,0.0,20.2,230.0,202.0,19.7,10.5
2025-08-01 10:00:00+00:00,0.0,21.4,235.0,207.0,14.5,10.5
2025-08-01 11:00:00+00:00,0.0,21.3,224.0,204.0,14.5,12.2
2025-08-01 12:00:00+00:00,0.0,21.3,210.0,211.0,15.8,11.3
2025-08-01 13:00:00+00:00,0.0,20.4,204.0,185.0,14.2,13.4
2025-08-01 14:00:00+00:00,0.0,20.1,198.0,173.0,17.4,9.1
2025-08-01 15:00:00+00:00,0.0,20.2,212.0,159.0,17.5,8.9
2025-08-01 16:00:00+00:00,0.0,18.5,219.0,175.0,16.1,4.3
2025-08-01 17:00:00+00:00,2.8,18.2,209.0,135.0,16.1,6.1
2025-08-01 18:00:00+00:00,0.0,17.9,212.0,170.0,17.8,8.0
2025-08-01 19:00:00+00:00,0.0,17.5,215.0,185.0,19.9,8.0
2025-08-01 20:00:00+00:00,0.1,17.3,220.0,190.0,21.7,6.2
2025-08-01 21:00:00+00:00,1.6,17.1,224.0,228.0,22.4,4.8
2025-08-01 22:00:00+00:00,0.0,16.1,223.0,173.0,21.7,6.2
2025-08-01 23:00:00+00:00,0.0,15.8,222.0,188.0,21.2,5.4
2025-08-02 00:00:00+00:00,0.0,15.6,220.0,193.0,18.9,4.8
2025-08-02 01:00:00+00:00,0.0,15.0,215.0,189.0,17.6,4.7
2025-08-02 02:00:00+00:00,0.0,15.1,207.0,198.0,18.2,5.7
2025-08-02 03:00:00+00:00,0.0,15.7,204.0,203.0,16.1,7.4
2025-08-02 04:00:00+00:00,0.0,16.6,207.0,186.0,15.8,6.9
2025-08-02 05:00:00+00:00,0.0,18.1,208.0,185.0,16.8,8.0
2025-08-02 06:00:00+00:00,0.0,19.6,212.0,194.0,18.6,11.5
2025-08-02 07:00:00+00:00,0.0,21.2,210.0,205.0,17.4,11.9
2025-08-02 08:00:00+00:00,0.0,22.0,205.0,202.0,19.0,11.3
2025-08-02 09:00:00+00:00,0.0,22.9,203.0,210.0,20.7,12.4
2025-08-02 10:00:00+00:00,0.0,23.6,203.0,195.0,20.8,12.3
2025-08-02 11:00:00+00:00,0.0,23.1,205.0,207.0,22.6,10.9
2025-08-02 12:00:00+00:00,0.6,21.0,213.0,180.0,19.8,14.4
2025-08-02 13:00:00+00:00,0.0,21.5,216.0,237.0,18.6,6.0
2025-08-02 14:00:00+00:00,0.0,22.0,207.0,270.0,16.6,4.0
2025-08-02 15:00:00+00:00,1.0,21.1,206.0,214.0,16.4,1.3
2025-08-02 16:00:00+00:00,0.0,20.7,223.0,360.0,17.3,0.7
2025-08-02 17:00:00+00:00,0.0,19.4,261.0,240.0,14.6,2.9
2025-08-02 18:00:00+00:00,0.0,18.9,278.0,225.0,10.2,2.5
2025-08-02 19:00:00+00:00,0.0,18.0,252.0,248.0,4.6,1.9
2025-08-02 20:00:00+00:00,0.0,17.2,212.0,270.0,4.7,2.2
2025-08-02 21:00:00+00:00,0.0,17.0,180.0,239.0,5.4,2.1
2025-08-02 22:00:00+00:00,0.0,16.6,153.0,220.0,6.4,2.8
2025-08-02 23:00:00+00:00,0.0,16.4,142.0,225.0,5.9,3.1
2025-08-03 00:00:00+00:00,0.0,16.1,163.0,254.0,4.9,2.6
2025-08-03 01:00:00+00:00,0.0,15.4,140.0,219.0,5.6,2.3
2025-08-03 02:00:00+00:00,0.0,16.0,150.0,252.0,2.9,3.4
2025-08-03 03:00:00+00:00,0.0,16.4,192.0,270.0,7.0,2.2
2025-08-03 04:00:00+00:00,0.0,17.6,66.0,34.0,4.3,1.3
2025-08-03 05:00:00+00:00,0.0,18.7,108.0,39.0,4.6,2.3
2025-08-03 06:00:00+00:00,0.0,19.4,216.0,59.0,6.7,2.1
2025-08-03 07:00:00+00:00,1.0,20.1,17.0,104.0,7.5,1.5
2025-08-03 08:00:00+00:00,0.1,20.1,69.0,20.0,3.1,4.2
2025-08-03 09:00:00+00:00,0.1,20.2,292.0,10.0,3.9,6.2
2025-08-03 10:00:00+00:00,0.2,20.4,297.0,15.0,4.0,5.6
2025-08-03 11:00:00+00:00,0.0,20.6,254.0,17.0,2.6,6.0
2025-08-03 12:00:00+00:00,0.3,20.4,261.0,21.0,4.7,5.0
2025-08-03 13:00:00+00:00,0.0,19.8,235.0,349.0,7.5,7.3
2025-08-03 14:00:00+00:00,0.0,19.6,222.0,356.0,9.7,5.4
2025-08-03 15:00:00+00:00,0.0,19.4,221.0,324.0,16.6,6.2
2025-08-03 16:00:00+00:00,0.0,17.7,282.0,314.0,21.0,11.5
2025-08-03 17:00:00+00:00,6.0,17.3,324.0,286.0,28.4,6.4
2025-08-03 18:00:00+00:00,0.1,17.3,293.0,267.0,22.3,7.2
2025-08-03 19:00:00+00:00,0.0,16.4,281.0,260.0,21.6,8.4
2025-08-03 20:00:00+00:00,0.0,16.3,281.0,257.0,14.7,8.1
2025-08-03 21:00:00+00:00,0.0,16.3,257.0,235.0,14.8,7.0
2025-08-03 22:00:00+00:00,0.0,16.3,252.0,215.0,20.8,5.7
2025-08-03 23:00:00+00:00,0.0,16.4,249.0,236.0,24.6,6.5
2025-08-04 00:00:00+00:00,0.0,16.4,253.0,217.0,25.2,5.4
2025-08-04 01:00:00+00:00,0.0,16.2,247.0,246.0,23.9,8.7
2025-08-04 02:00:00+00:00,0.0,16.2,239.0,234.0,20.5,8.5
2025-08-04 03:00:00+00:00,0.0,16.2,232.0,227.0,16.9,8.4
2025-08-04 04:00:00+00:00,0.0,16.8,232.0,215.0,19.2,8.8
2025-08-04 05:00:00+00:00,0.0,18.1,227.0,211.0,20.1,10.5
2025-08-04 06:00:00+00:00,0.0,18.8,227.0,220.0,24.0,13.6
2025-08-04 07:00:00+00:00,0.0,19.1,222.0,224.0,26.5,14.0
2025-08-04 08:00:00+00:00,0.0,19.5,222.0,223.0,30.6,12.2
2025-08-04 09:00:00+00:00,0.0,19.9,224.0,226.0,27.5,12.5
2025-08-04 10:00:00+00:00,0.0,21.0,219.0,233.0,25.6,13.9
2025-08-04 11:00:00+00:00,0.0,21.1,212.0,219.0,23.5,15.3
2025-08-04 12:00:00+00:00,0.0,21.0,212.0,201.0,23.0,10.8
2025-08-04 13:00:00+00:00,0.0,20.6,218.0,214.0,31.3,11.7
2025-08-04 14:00:00+00:00,0.0,20.8,216.0,206.0,25.5,10.8
2025-08-04 15:00:00+00:00,0.0,20.7,209.0,218.0,23.8,11.8
2025-08-04 16:00:00+00:00,0.0,20.0,194.0,212.0,25.9,13.6
2025-08-04 17:00:00+00:00,0.0,18.8,201.0,210.0,30.6,11.6
2025-08-04 18:00:00+00:00,0.0,17.9,220.0,205.0,29.9,10.3
2025-08-04 19:00:00+00:00,0.0,17.0,212.0,192.0,30.1,8.8
2025-08-04 20:00:00+00:00,0.0,16.4,205.0,188.0,30.1,7.6
2025-08-04 21:00:00+00:00,0.0,16.2,201.0,200.0,29.6,8.4
2025-08-04 22:00:00+00:00,0.0,15.9,210.0,191.0,30.3,9.5
2025-08-04 23:00:00+00:00,0.0,16.4,213.0,203.0,30.5,10.2
2025-08-05 00:00:00+00:00,0.0,16.2,206.0,194.0,30.1,10.4
2025-08-05 01:00:00+00:00,0.0,16.7,209.0,197.0,30.8,10.1
2025-08-05 02:00:00+00:00,0.0,16.8,206.0,199.0,29.3,12.2
2025-08-05 03:00:00+00:00,0.0,16.9,196.0,187.0,28.0,12.3
2025-08-05 04:00:00+00:00,0.0,17.1,207.0,187.0,33.2,15.6
2025-08-05 05:00:00+00:00,0.0,17.5,201.0,191.0,31.7,15.4
2025-08-05 06:00:00+00:00,0.0,17.7,215.0,194.0,34.9,15.2
2025-08-05 07:00:00+00:00,0.6,18.6,221.0,202.0,31.4,15.5
2025-08-05 08:00:00+00:00,0.0,18.9,223.0,201.0,34.9,15.0
2025-08-05 09:00:00+00:00,0.0,19.7,220.0,226.0,36.0,9.9
2025-08-05 10:00:00+00:00,0.0,19.3,226.0,233.0,33.4,11.3
2025-08-05 11:00:00+00:00,0.0,19.6,246.0,240.0,30.0,10.8
2025-08-05 12:00:00+00:00,0.0,19.4,285.0,258.0,26.8,11.8
2025-08-05 13:00:00+00:00,0.2,18.9,288.0,242.0,27.3,7.7
2025-08-05 14:00:00+00:00,0.0,18.7,294.0,250.0,19.7,10.4
2025-08-05 15:00:00+00:00,0.0,18.3,227.0,259.0,15.8,9.2
2025-08-05 16:00:00+00:00,0.0,18.0,212.0,233.0,23.8,7.2
2025-08-05 17:00:00+00:00,0.0,17.3,225.0,229.0,27.5,8.2
2025-08-05 18:00:00+00:00,0.0,16.4,236.0,242.0,27.5,9.8
2025-08-05 19:00:00+00:00,0.0,15.8,240.0,242.0,26.6,10.6
2025-08-05 20:00:00+00:00,0.0,16.0,248.0,241.0,26.8,10.3
2025-08-05 21:00:00+00:00,0.0,15.8,243.0,237.0,29.1,12.5
