time,precipitation,temperature_2m,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m
2025-08-01 00:00:00+00:00,0.0,11.2,199.0,198.0,8.6,7.2
2025-08-01 01:00:00+00:00,0.0,10.7,188.0,174.0,9.7,6.5
2025-08-01 02:00:00+00:00,0.0,10.6,163.0,146.0,8.3,6.1
2025-08-01 03:00:00+00:00,0.0,10.5,173.0,161.0,14.4,9.0
2025-08-01 04:00:00+00:00,0.0,10.8,167.0,158.0,16.2,9.4
2025-08-01 05:00:00+00:00,0.0,11.0,125.0,117.0,15.5,11.2
2025-08-01 06:00:00+00:00,0.0,11.4,132.0,129.0,19.8,13.3
2025-08-01 07:00:00+00:00,0.0,11.5,136.0,130.0,21.6,15.1
2025-08-01 08:00:00+00:00,0.3,11.1,131.0,125.0,28.8,20.5
2025-08-01 09:00:00+00:00,0.6,11.1,127.0,124.0,28.1,19.8
2025-08-01 10:00:00+00:00,0.2,11.6,131.0,118.0,30.6,20.9
2025-08-01 11:00:00+00:00,1.0,11.5,128.0,127.0,31.0,24.5
2025-08-01 12:00:00+00:00,0.5,11.4,123.0,122.0,36.4,23.4
2025-08-01 13:00:00+00:00,0.4,12.1,122.0,129.0,34.6,21.6
2025-08-01 14:00:00+00:00,0.7,12.2,127.0,126.0,38.5,24.5
2025-08-01 15:00:00+00:00,0.7,12.3,116.0,127.0,43.6,27.0
2025-08-01 16:00:00+00:00,0.2,12.1,117.0,122.0,42.8,29.5
2025-08-01 17:00:00+00:00,0.0,12.1,116.0,125.0,45.0,31.0
2025-08-01 18:00:00+00:00,0.0,12.2,119.0,123.0,50.8,33.1
2025-08-01 19:00:00+00:00,0.0,12.2,124.0,124.0,60.1,37.8
2025-08-01 20:00:00+00:00,0.0,11.8,120.0,116.0,54.7,38.9
2025-08-01 21:00:00+00:00,0.3,11.8,127.0,126.0,65.5,38.9
2025-08-01 22:00:00+00:00,0.8,12.0,131.0,121.0,65.9,43.6
2025-08-01 23:00:00+00:00,0.5,11.8,129.0,127.0,70.2,45.0
2025-08-02 00:00:00+00:00,1.7,12.1,141.0,129.0,61.6,46.4
2025-08-02 01:00:00+00:00,0.1,12.5,175.0,146.0,48.6,45.0
2025-08-02 02:00:00+00:00,0.2,13.1,166.0,170.0,40.7,36.7
2025-08-02 03:00:00+00:00,0.0,12.7,165.0,170.0,45.4,33.8
