time,precipitation,temperature_2m,wind_direction_100m,wind_direction_10m,wind_speed_100m,wind_speed_10m
2025-08-01 00:00:00+00:00,0.0,14.1,254.0,242.0,19.8,9.4
2025-08-01 01:00:00+00:00,0.0,13.9,254.0,230.0,18.4,7.6
2025-08-01 02:00:00+00:00,0.0,14.3,247.0,224.0,15.5,6.8
2025-08-01 03:00:00+00:00,0.0,15.9,258.0,246.0,10.4,5.8
2025-08-01 04:00:00+00:00,0.0,17.0,235.0,195.0,8.3,4.0
2025-08-01 05:00:00+00:00,0.0,18.2,233.0,216.0,12.2,6.8
2025-08-01 06:00:00+00:00,0.0,19.4,225.0,210.0,15.1,7.9
2025-08-01 07:00:00+00:00,0.0,19.8,230.0,235.0,13.0,8.6
2025-08-01 08:00:00+00:00,0.0,20.9,229.0,242.0,17.3,10.8
2025-08-01 09:00:00+00:00,0.0,21.4,231.0,238.0,18.4,11.5
2025-08-01 10:00:00+00:00,0.0,22.4,230.0,245.0,17.6,7.6
2025-08-01 11:00:00+00:00,0.0,22.8,263.0,256.0,12.2,12.2
2025-08-01 12:00:00+00:00,0.0,22.5,230.0,233.0,17.3,10.1
2025-08-01 13:00:00+00:00,0.0,22.2,224.0,268.0,10.4,6.5
2025-08-01 14:00:00+00:00,0.0,21.7,185.0,265.0,7.9,5.4
2025-08-01 15:00:00+00:00,0.0,21.0,159.0,288.0,9.0,1.8
2025-08-01 16:00:00+00:00,0.0,20.4,149.0,248.0,9.7,4.7
2025-08-01 17:00:00+00:00,0.0,19.4,150.0,287.0,10.1,2.9
2025-08-01 18:00:00+00:00,0.0,19.5,199.0,233.0,8.3,5.4
2025-08-01 19:00:00+00:00,0.0,19.0,205.0,189.0,18.4,6.8
2025-08-01 20:00:00+00:00,0.0,18.3,231.0,212.0,16.2,7.6
2025-08-01 21:00:00+00:00,0.0,17.6,250.0,204.0,13.7,6.8
2025-08-01 22:00:00+00:00,0.0,16.8,237.0,195.0,11.2,9.4
2025-08-01 23:00:00+00:00,0.0,16.5,243.0,216.0,12.2,7.9
2025-08-02 00:00:00+00:00,0.0,16.3,237.0,194.0,14.4,7.6
2025-08-02 01:00:00+00:00,0.0,15.8,233.0,176.0,12.2,6.8
2025-08-02 02:00:00+00:00,0.0,15.6,208.0,175.0,11.9,6.8
2025-08-02 03:00:00+00:00,0.0,16.8,211.0,172.0,10.1,5.4
2025-08-02 04:00:00+00:00,0.0,18.5,218.0,194.0,6.8,4.7
2025-08-02 05:00:00+00:00,0.0,20.4,192.0,179.0,9.4,7.2
2025-08-02 06:00:00+00:00,0.0,21.5,213.0,179.0,13.3,9.0
2025-08-02 07:00:00+00:00,0.0,22.5,218.0,164.0,13.7,11.2
2025-08-02 08:00:00+00:00,0.0,22.6,222.0,147.0,16.6,12.6
2025-08-02 09:00:00+00:00,0.0,23.8,226.0,159.0,15.8,9.7
2025-08-02 10:00:00+00:00,0.2,23.1,224.0,166.0,13.3,11.2
2025-08-02 11:00:00+00:00,3.5,20.2,217.0,284.0,11.5,16.6
2025-08-02 12:00:00+00:00,9.0,19.2,199.0,178.0,7.6,11.2
2025-08-02 13:00:00+00:00,0.8,19.7,161.0,112.0,5.4,12.6
2025-08-02 14:00:00+00:00,0.0,21.1,133.0,135.0,10.4,5.4
2025-08-02 15:00:00+00:00,0.0,21.0,135.0,112.0,10.1,7.2
2025-08-02 16:00:00+00:00,0.0,20.8,109.0,118.0,12.6,5.4
2025-08-02 17:00:00+00:00,0.0,20.4,105.0,110.0,16.9,4.3
2025-08-02 18:00:00+00:00,0.0,19.8,95.0,83.0,20.2,5.8
2025-08-02 19:00:00+00:00,0.0,19.0,97.0,88.0,19.8,7.9
2025-08-02 20:00:00+00:00,0.0,18.7,88.0,100.0,18.7,6.5
2025-08-02 21:00:00+00:00,0.0,18.2,131.0,105.0,19.4,6.8
2025-08-02 22:00:00+00:00,0.0,17.8,151.0,128.0,21.6,9.0
2025-08-02 23:00:00+00:00,0.0,17.6,148.0,123.0,24.8,9.0
2025-08-03 00:00:00+00:00,0.0,17.4,138.0,131.0,34.9,7.9
2025-08-03 01:00:00+00:00,0.0,16.9,150.0,101.0,26.3,7.9
2025-08-03 02:00:00+00:00,0.0,17.4,185.0,116.0,18.0,7.6
2025-08-03 03:00:00+00:00,0.0,17.9,106.0,151.0,2.5,6.5
2025-08-03 04:00:00+00:00,0.2,18.4,52.0,103.0,10.4,7.2
2025-08-03 05:00:00+00:00,1.1,19.1,73.0,170.0,17.3,6.8
2025-08-03 06:00:00+00:00,0.2,21.0,123.0,112.0,15.5,6.1
2025-08-03 07:00:00+00:00,0.0,22.8,173.0,106.0,18.7,6.1
2025-08-03 08:00:00+00:00,0.0,24.8,177.0,150.0,21.6,8.3
2025-08-03 09:00:00+00:00,0.0,25.9,180.0,144.0,21.2,10.4
2025-08-03 10:00:00+00:00,0.0,27.0,197.0,163.0,21.2,6.8
2025-08-03 11:00:00+00:00,0.0,27.9,211.0,229.0,25.6,12.2
2025-08-03 12:00:00+00:00,0.2,23.5,247.0,233.0,30.2,29.9
2025-08-03 13:00:00+00:00,5.6,22.0,225.0,250.0,5.1,12.2
2025-08-03 14:00:00+00:00,0.4,20.5,243.0,258.0,8.9,15.1
2025-08-03 15:00:00+00:00,0.0,20.5,251.0,293.0,14.5,9.7
2025-08-03 16:00:00+00:00,0.0,20.5,256.0,247.0,18.9,11.5
2025-08-03 17:00:00+00:00,0.0,20.8,261.0,220.0,20.8,8.3
2025-08-03 18:00:00+00:00,0.0,19.4,266.0,262.0,21.6,15.8
2025-08-03 19:00:00+00:00,0.0,18.4,270.0,273.0,22.0,16.9
2025-08-03 20:00:00+00:00,0.0,17.7,271.0,279.0,21.2,13.0
2025-08-03 21:00:00+00:00,0.0,17.0,271.0,279.0,19.4,11.5
2025-08-03 22:00:00+00:00,0.0,16.7,271.0,270.0,18.0,14.4
2025-08-03 23:00:00+00:00,0.0,16.3,270.0,264.0,17.6,13.0
2025-08-04 00:00:00+00:00,0.0,16.1,269.0,265.0,17.3,10.8
2025-08-04 01:00:00+00:00,0.0,15.5,266.0,275.0,16.2,10.8
2025-08-04 02:00:00+00:00,0.0,15.5,263.0,279.0,13.8,8.3
2025-08-04 03:00:00+00:00,0.0,16.1,256.0,273.0,10.4,6.1
2025-08-04 04:00:00+00:00,0.0,17.0,249.0,261.0,8.9,6.1
2025-08-04 05:00:00+00:00,0.0,18.5,246.0,256.0,9.8,5.8
2025-08-04 06:00:00+00:00,0.0,19.8,247.0,251.0,12.1,6.8
2025-08-04 07:00:00+00:00,0.0,21.2,248.0,239.0,14.4,7.9
2025-08-04 08:00:00+00:00,0.0,22.2,247.0,251.0,16.5,9.4
2025-08-04 09:00:00+00:00,0.0,22.6,247.0,250.0,18.4,9.7
2025-08-04 10:00:00+00:00,0.0,22.7,247.0,261.0,19.5,13.0
2025-08-04 11:00:00+00:00,0.0,23.8,250.0,268.0,18.8,13.3
2025-08-04 12:00:00+00:00,0.0,23.7,255.0,271.0,16.8,12.2
2025-08-04 13:00:00+00:00,0.0,23.2,260.0,275.0,15.0,10.8
2025-08-04 14:00:00+00:00,0.0,22.7,265.0,275.0,13.4,12.6
2025-08-04 15:00:00+00:00,0.0,22.0,272.0,275.0,11.5,11.5
2025-08-04 16:00:00+00:00,0.0,21.0,276.0,272.0,10.9,8.6
