time,variable,value,latitude,longitude,provider
2025-08-14T00:00:00Z,temperature_2m,20.8,52.2297,21.0122,visualcrossing
2025-08-14T00:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T00:00:00Z,wind_speed_10m,2.611111111111111,52.2297,21.0122,visualcrossing
2025-08-14T00:00:00Z,wind_direction_10m,89.0,52.2297,21.0122,visualcrossing
2025-08-14T01:00:00Z,temperature_2m,18.8,52.2297,21.0122,visualcrossing
2025-08-14T01:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T01:00:00Z,wind_speed_10m,2.111111111111111,52.2297,21.0122,visualcrossing
2025-08-14T01:00:00Z,wind_direction_10m,108.0,52.2297,21.0122,visualcrossing
2025-08-14T02:00:00Z,temperature_2m,17.9,52.2297,21.0122,visualcrossing
2025-08-14T02:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T02:00:00Z,wind_speed_10m,2.111111111111111,52.2297,21.0122,visualcrossing
2025-08-14T02:00:00Z,wind_direction_10m,99.0,52.2297,21.0122,visualcrossing
2025-08-14T03:00:00Z,temperature_2m,17.9,52.2297,21.0122,visualcrossing
2025-08-14T03:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T03:00:00Z,wind_speed_10m,1.5555555555555554,52.2297,21.0122,visualcrossing
2025-08-14T03:00:00Z,wind_direction_10m,80.0,52.2297,21.0122,visualcrossing
2025-08-14T04:00:00Z,temperature_2m,16.9,52.2297,21.0122,visualcrossing
2025-08-14T04:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T04:00:00Z,wind_speed_10m,2.1666666666666665,52.2297,21.0122,visualcrossing
2025-08-14T04:00:00Z,wind_direction_10m,99.0,52.2297,21.0122,visualcrossing
2025-08-14T05:00:00Z,temperature_2m,19.9,52.2297,21.0122,visualcrossing
2025-08-14T05:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T05:00:00Z,wind_speed_10m,2.611111111111111,52.2297,21.0122,visualcrossing
2025-08-14T05:00:00Z,wind_direction_10m,98.0,52.2297,21.0122,visualcrossing
2025-08-14T06:00:00Z,temperature_2m,21.9,52.2297,21.0122,visualcrossing
2025-08-14T06:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T06:00:00Z,wind_speed_10m,2.138888888888889,52.2297,21.0122,visualcrossing
2025-08-14T06:00:00Z,wind_direction_10m,89.0,52.2297,21.0122,visualcrossing
2025-08-14T07:00:00Z,temperature_2m,24.9,52.2297,21.0122,visualcrossing
2025-08-14T07:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T07:00:00Z,wind_speed_10m,3.0555555555555554,52.2297,21.0122,visualcrossing
2025-08-14T07:00:00Z,wind_direction_10m,108.0,52.2297,21.0122,visualcrossing
2025-08-14T08:00:00Z,temperature_2m,26.5,52.2297,21.0122,visualcrossing
2025-08-14T08:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T08:00:00Z,wind_speed_10m,1.8055555555555556,52.2297,21.0122,visualcrossing
2025-08-14T08:00:00Z,wind_direction_10m,99.9,52.2297,21.0122,visualcrossing
2025-08-14T09:00:00Z,temperature_2m,28.7,52.2297,21.0122,visualcrossing
2025-08-14T09:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T09:00:00Z,wind_speed_10m,2.5,52.2297,21.0122,visualcrossing
2025-08-14T09:00:00Z,wind_direction_10m,110.6,52.2297,21.0122,visualcrossing
2025-08-14T10:00:00Z,temperature_2m,30.0,52.2297,21.0122,visualcrossing
2025-08-14T10:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T10:00:00Z,wind_speed_10m,2.8055555555555554,52.2297,21.0122,visualcrossing
2025-08-14T10:00:00Z,wind_direction_10m,114.7,52.2297,21.0122,visualcrossing
2025-08-14T11:00:00Z,temperature_2m,30.9,52.2297,21.0122,visualcrossing
2025-08-14T11:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T11:00:00Z,wind_speed_10m,2.611111111111111,52.2297,21.0122,visualcrossing
2025-08-14T11:00:00Z,wind_direction_10m,113.4,52.2297,21.0122,visualcrossing
2025-08-14T12:00:00Z,temperature_2m,31.5,52.2297,21.0122,visualcrossing
2025-08-14T12:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T12:00:00Z,wind_speed_10m,2.305555555555556,52.2297,21.0122,visualcrossing
2025-08-14T12:00:00Z,wind_direction_10m,110.1,52.2297,21.0122,visualcrossing
2025-08-14T13:00:00Z,temperature_2m,32.0,52.2297,21.0122,visualcrossing
2025-08-14T13:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T13:00:00Z,wind_speed_10m,2.111111111111111,52.2297,21.0122,visualcrossing
2025-08-14T13:00:00Z,wind_direction_10m,102.9,52.2297,21.0122,visualcrossing
2025-08-14T14:00:00Z,temperature_2m,32.0,52.2297,21.0122,visualcrossing
2025-08-14T14:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T14:00:00Z,wind_speed_10m,2.1944444444444446,52.2297,21.0122,visualcrossing
2025-08-14T14:00:00Z,wind_direction_10m,95.0,52.2297,21.0122,visualcrossing
2025-08-14T15:00:00Z,temperature_2m,31.7,52.2297,21.0122,visualcrossing
2025-08-14T15:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T15:00:00Z,wind_speed_10m,2.305555555555556,52.2297,21.0122,visualcrossing
2025-08-14T15:00:00Z,wind_direction_10m,89.3,52.2297,21.0122,visualcrossing
2025-08-14T16:00:00Z,temperature_2m,31.0,52.2297,21.0122,visualcrossing
2025-08-14T16:00:00Z,precipitation,0.0,52.2297,21.0122,visualcrossing
2025-08-14T16:00:00Z,wind_speed_10m,2.388888888888889,52.2297,21.0122,visualcrossing
2025-08-14T16:00:00Z,wind_direction_10m,88.9,52.2297,21.0122,visualcrossing
2025-08-14T17:00:00Z,temperature_2m,30.0,52.2297,21.0122,visualcrossing
