time,latitude,longitude,variable,value
2025-08-11T00:00:00Z,52.2297,21.0122,temperature_2m,20.195
2025-08-11T00:00:00Z,52.2297,21.0122,precipitation,0.000
2025-08-11T00:00:00Z,52.2297,21.0122,wind_speed_100m,6.303
2025-08-11T00:00:00Z,52.2297,21.0122,wind_direction_100m,184.366
2025-08-11T00:00:00Z,52.2797,21.0122,temperature_2m,20.331
2025-08-11T00:00:00Z,52.2797,21.0122,precipitation,0.152
2025-08-11T00:00:00Z,52.2797,21.0122,wind_speed_100m,6.824
2025-08-11T00:00:00Z,52.2797,21.0122,wind_direction_100m,196.709
2025-08-11T00:00:00Z,52.2297,21.0622,temperature_2m,19.606
2025-08-11T00:00:00Z,52.2297,21.0622,precipitation,0.814
2025-08-11T00:00:00Z,52.2297,21.0622,wind_speed_100m,6.687
2025-08-11T00:00:00Z,52.2297,21.0622,wind_direction_100m,179.396
2025-08-11T00:00:00Z,52.2797,21.0622,temperature_2m,19.609
2025-08-11T00:00:00Z,52.2797,21.0622,precipitation,1.997
2025-08-11T00:00:00Z,52.2797,21.0622,wind_speed_100m,6.754
2025-08-11T00:00:00Z,52.2797,21.0622,wind_direction_100m,195.054
2025-08-11T01:00:00Z,52.2297,21.0122,temperature_2m,21.329
2025-08-11T01:00:00Z,52.2297,21.0122,precipitation,0.000
2025-08-11T01:00:00Z,52.2297,21.0122,wind_speed_100m,6.630
2025-08-11T01:00:00Z,52.2297,21.0122,wind_direction_100m,205.126
2025-08-11T01:00:00Z,52.2797,21.0122,temperature_2m,20.983
2025-08-11T01:00:00Z,52.2797,21.0122,precipitation,0.000
2025-08-11T01:00:00Z,52.2797,21.0122,wind_speed_100m,6.583
2025-08-11T01:00:00Z,52.2797,21.0122,wind_direction_100m,202.931
2025-08-11T01:00:00Z,52.2297,21.0622,temperature_2m,21.983
2025-08-11T01:00:00Z,52.2297,21.0622,precipitation,0.000
2025-08-11T01:00:00Z,52.2297,21.0622,wind_speed_100m,7.089
2025-08-11T01:00:00Z,52.2297,21.0622,wind_direction_100m,196.706
