provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,8.4695,8.4695,9.93933039746642,0.03593674077042605,100.0,0.0
metno,wind_direction_100m,8,8.0,100.0,0.0,57.96487499999999,100.787625,117.2545897763708,-0.18000499782948712,87.5,12.5
metno,wind_speed_100m,8,8.0,100.0,0.0,-3.0916919084111387,4.313344802398513,4.604416402789946,-0.729326597425564,25.0,75.0
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,11.819041666666665,11.819041666666669,13.051495402826452,-0.019395922061346146,100.0,0.0
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,29.02066666666666,147.22187499999998,149.6881829913437,-0.16226462417544663,58.333333333333336,41.66666666666667
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,19.631666666666668,19.661041666666666,22.894294240050293,-0.4339685541388285,97.91666666666666,2.083333333333333
visualcrossing,precipitation,48,48.0,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,10.248208333333332,10.248208333333334,11.572370604878962,0.061625407643440266,100.0,0.0
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,-7.7189166666666695,119.52829166666668,129.38517086494107,-0.05147913631925597,45.83333333333333,54.166666666666664
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,-1.2526796336598771,2.0773339762273104,2.4494555918882592,-0.24297391833652077,29.166666666666668,70.83333333333334
