provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,temperature_2m,8,8.0,100.0,0.0,14.782,14.782,15.24251172707438,0.5002990165845818,100.0,0.0
metno,wind_direction_100m,8,8.0,100.0,0.0,3.4023749999999975,111.744125,118.28706109978809,0.11645100817984373,37.5,62.5
metno,wind_speed_100m,8,8.0,100.0,0.0,-1.3195023036141134,2.7148992765031568,3.0515691558912175,-0.08706993108920645,25.0,75.0
openmeteo,precipitation,72,48.0,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48.0,66.66666666666667,0.0,15.439875,15.439875,15.73146723661422,0.7304313303644812,100.0,0.0
openmeteo,wind_direction_100m,72,48.0,66.66666666666667,0.0,-40.10433333333334,109.77866666666667,120.20354058394732,0.008931067115128352,31.25,68.75
openmeteo,wind_speed_100m,72,48.0,66.66666666666667,0.0,14.710833333333333,14.710833333333335,16.66777030929252,0.13721085677713774,100.0,0.0
visualcrossing,precipitation,48,48.0,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48.0,100.0,0.0,13.358624999999998,13.358625000000002,13.800232597677475,0.7280264671141922,100.0,0.0
visualcrossing,wind_direction_100m,48,48.0,100.0,0.0,-14.173083333333333,99.505875,110.69715316536676,0.21783609500138254,37.5,62.5
visualcrossing,wind_speed_100m,48,48.0,100.0,0.0,1.0976916559265917,2.248586758849708,2.8901270267435146,-0.08147609817820223,70.83333333333334,29.166666666666668
