provider (API),zmienna,n_api,n_era5,pokrycie%,dorobione%,bias,MAE,RMSE,corr,%zawyż,%zaniż
metno,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
metno,temperature_2m,48,48,100.0,0.0,5.058625,5.715916666666668,6.8645876605955,0.05271228887354695,77.08333333333334,22.916666666666664
metno,wind_direction_100m,48,48,100.0,0.0,-132.73139583333332,132.73139583333332,134.1697003609142,0.5387904808058124,0.0,100.0
metno,wind_speed_100m,48,48,100.0,0.0,5.7303428041963755,5.7303428041963755,6.268299845865039,-0.8526126406151192,100.0,0.0
openmeteo,precipitation,72,48,66.66666666666667,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
openmeteo,temperature_2m,72,48,66.66666666666667,0.0,5.733625,6.054166666666666,7.268771187988609,0.14075775643134408,87.5,12.5
openmeteo,wind_direction_100m,72,48,66.66666666666667,0.0,-125.27097916666666,125.27097916666666,126.89557023370634,0.45306574176830305,0.0,100.0
openmeteo,wind_speed_100m,72,48,66.66666666666667,0.0,38.433708333333335,38.433708333333335,38.85274274691985,-0.8097403340759697,100.0,0.0
openweather,precipitation,16,16,100.0,0.0,-0.03125,0.03125,0.09394147114027969,,0.0,12.5
openweather,temperature_2m,16,16,100.0,0.0,6.42375,6.523000000000001,8.032953729793295,-0.02636520888778288,93.75,6.25
openweather,wind_direction_100m,16,16,100.0,0.0,-126.43175,126.43175000000001,127.77870874582354,0.36058770029526677,0.0,100.0
openweather,wind_speed_100m,16,16,100.0,0.0,6.087122826036325,6.087122826036325,6.706134555155166,-0.8245484652438435,100.0,0.0
visualcrossing,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
visualcrossing,temperature_2m,48,48,100.0,0.0,5.5211250000000005,5.764749999999999,7.053750863902128,0.07349308947972319,83.33333333333334,16.666666666666664
visualcrossing,wind_direction_100m,48,48,100.0,0.0,-131.46264583333334,131.4626458333333,132.99441532424396,0.43120001437642996,0.0,100.0
visualcrossing,wind_speed_100m,48,48,100.0,0.0,5.064002086779047,5.077655254494847,6.24162104707475,-0.7752165279401542,97.91666666666666,2.083333333333333
weatherapi,precipitation,48,48,100.0,0.0,-0.030125,0.030125000000000002,0.10779552402581473,,0.0,10.416666666666668
weatherapi,temperature_2m,48,48,100.0,0.0,5.6669583333333335,6.29475,7.782560980594155,-0.32437881940226887,75.0,25.0
weatherapi,wind_direction_100m,48,48,100.0,0.0,-126.52097916666666,126.52097916666666,127.85396664399649,0.7480438220682966,0.0,100.0
weatherapi,wind_speed_100m,48,48,100.0,0.0,6.147489467707512,6.147489467707513,6.7332892688889165,-0.9213211525357996,100.0,0.0
