time,latitude,longitude,variable,value
2025-08-12T12:00:00Z,-33.8688,151.2093,temperature_2m,10.48
2025-08-12T12:00:00Z,-33.8688,151.2093,wind_speed_10m,1.92
2025-08-12T12:00:00Z,-33.8688,151.2093,wind_direction_10m,268.0
2025-08-12T12:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-12T15:00:00Z,-33.8688,151.2093,temperature_2m,10.07
2025-08-12T15:00:00Z,-33.8688,151.2093,wind_speed_10m,3.09
2025-08-12T15:00:00Z,-33.8688,151.2093,wind_direction_10m,282.0
2025-08-12T15:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-12T18:00:00Z,-33.8688,151.2093,temperature_2m,8.5
2025-08-12T18:00:00Z,-33.8688,151.2093,wind_speed_10m,3.09
2025-08-12T18:00:00Z,-33.8688,151.2093,wind_direction_10m,281.0
2025-08-12T18:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-12T21:00:00Z,-33.8688,151.2093,temperature_2m,7.23
2025-08-12T21:00:00Z,-33.8688,151.2093,wind_speed_10m,3.19
2025-08-12T21:00:00Z,-33.8688,151.2093,wind_direction_10m,290.0
2025-08-12T21:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-13T00:00:00Z,-33.8688,151.2093,temperature_2m,13.43
2025-08-13T00:00:00Z,-33.8688,151.2093,wind_speed_10m,3.1
2025-08-13T00:00:00Z,-33.8688,151.2093,wind_direction_10m,294.0
2025-08-13T00:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-13T03:00:00Z,-33.8688,151.2093,temperature_2m,17.37
2025-08-13T03:00:00Z,-33.8688,151.2093,wind_speed_10m,1.73
2025-08-13T03:00:00Z,-33.8688,151.2093,wind_direction_10m,227.0
2025-08-13T03:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-13T06:00:00Z,-33.8688,151.2093,temperature_2m,15.77
2025-08-13T06:00:00Z,-33.8688,151.2093,wind_speed_10m,4.76
2025-08-13T06:00:00Z,-33.8688,151.2093,wind_direction_10m,165.0
2025-08-13T06:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-13T09:00:00Z,-33.8688,151.2093,temperature_2m,14.8
2025-08-13T09:00:00Z,-33.8688,151.2093,wind_speed_10m,4.82
2025-08-13T09:00:00Z,-33.8688,151.2093,wind_direction_10m,182.0
2025-08-13T09:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-13T12:00:00Z,-33.8688,151.2093,temperature_2m,13.5
2025-08-13T12:00:00Z,-33.8688,151.2093,wind_speed_10m,4.83
2025-08-13T12:00:00Z,-33.8688,151.2093,wind_direction_10m,201.0
2025-08-13T12:00:00Z,-33.8688,151.2093,precipitation,0.30333333333333334
2025-08-13T15:00:00Z,-33.8688,151.2093,temperature_2m,12.91
2025-08-13T15:00:00Z,-33.8688,151.2093,wind_speed_10m,5.62
2025-08-13T15:00:00Z,-33.8688,151.2093,wind_direction_10m,199.0
2025-08-13T15:00:00Z,-33.8688,151.2093,precipitation,0.5333333333333333
2025-08-13T18:00:00Z,-33.8688,151.2093,temperature_2m,13.16
2025-08-13T18:00:00Z,-33.8688,151.2093,wind_speed_10m,7.46
2025-08-13T18:00:00Z,-33.8688,151.2093,wind_direction_10m,171.0
2025-08-13T18:00:00Z,-33.8688,151.2093,precipitation,1.4966666666666668
2025-08-13T21:00:00Z,-33.8688,151.2093,temperature_2m,13.64
2025-08-13T21:00:00Z,-33.8688,151.2093,wind_speed_10m,7.08
2025-08-13T21:00:00Z,-33.8688,151.2093,wind_direction_10m,189.0
2025-08-13T21:00:00Z,-33.8688,151.2093,precipitation,0.5066666666666667
2025-08-14T00:00:00Z,-33.8688,151.2093,temperature_2m,14.71
2025-08-14T00:00:00Z,-33.8688,151.2093,wind_speed_10m,8.08
2025-08-14T00:00:00Z,-33.8688,151.2093,wind_direction_10m,187.0
2025-08-14T00:00:00Z,-33.8688,151.2093,precipitation,0.03666666666666667
2025-08-14T03:00:00Z,-33.8688,151.2093,temperature_2m,16.19
2025-08-14T03:00:00Z,-33.8688,151.2093,wind_speed_10m,7.22
2025-08-14T03:00:00Z,-33.8688,151.2093,wind_direction_10m,186.0
2025-08-14T03:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-14T06:00:00Z,-33.8688,151.2093,temperature_2m,14.93
2025-08-14T06:00:00Z,-33.8688,151.2093,wind_speed_10m,6.65
2025-08-14T06:00:00Z,-33.8688,151.2093,wind_direction_10m,186.0
2025-08-14T06:00:00Z,-33.8688,151.2093,precipitation,0.0
2025-08-14T09:00:00Z,-33.8688,151.2093,temperature_2m,13.9
2025-08-14T09:00:00Z,-33.8688,151.2093,wind_speed_10m,4.94
2025-08-14T09:00:00Z,-33.8688,151.2093,wind_direction_10m,183.0
2025-08-14T09:00:00Z,-33.8688,151.2093,precipitation,0.0
